Variant,seed,best_val_MAPE,test_MAPE,test_RMSE,test_R2
orig_lr003_wd1e3_do15_huber,0,6.343007253604897,14.993103726624213,65.03358347718645,0.9086970860447448
orig_lr003_wd1e3_do15_huber,1,6.113129420223904,14.560555038912886,64.54472506395877,0.9100645776482615
orig_lr003_wd1e3_do15_huber,2,7.449481207114471,15.616151197819555,72.37237679398477,0.8869280350633791
orig_lr003_wd1e3_do15_huber,3,7.147996064051601,16.035097998144465,78.43968858915711,0.8671746436481289
orig_lr003_wd1e3_do15_huber,4,6.0151084826193815,15.568765378837757,73.49014242087658,0.8834083506220889
orig_lr003_wd1e3_do15_huber,5,6.036241365702434,15.059400088561969,65.66471646988263,0.9069163477827634
orig_lr003_wd1e3_do15_huber,6,6.118259574361724,14.448575598888047,63.270007162173584,0.9135818359839822
orig_lr002_wd3e3_do20_huber,0,6.992725848061984,16.32552508403639,73.64842498899672,0.8829055811734393
orig_lr002_wd3e3_do20_huber,1,6.827060079469886,15.977001448720824,71.0773275507916,0.8909385044725685
orig_lr002_wd3e3_do20_huber,2,7.456505942018906,17.081458030703857,76.80318855828006,0.8726591427404135
orig_lr002_wd3e3_do20_huber,3,7.73631738895518,16.98870082945895,79.28041665815891,0.8643121016081314
orig_lr002_wd3e3_do20_huber,4,8.161438031818518,17.395852403084504,81.33881980491083,0.8571747472011821
orig_lr002_wd3e3_do20_huber,5,7.053898479097115,15.931614698814531,70.57121040998886,0.892486153254659
orig_lr002_wd3e3_do20_huber,6,6.9605684017727,15.575119049935978,70.55648771527306,0.8925310080451914
orig_lr003_wd1e3_do25_huber,0,6.332040992689897,15.737713800674607,70.8358889523389,0.8916781758493266
orig_lr003_wd1e3_do25_huber,1,6.5564728959576195,15.685153087126055,74.28514598351212,0.8808721701249776
orig_lr003_wd1e3_do25_huber,2,7.581745006117171,16.447278934549495,72.9308376961233,0.8851762643403958
orig_lr003_wd1e3_do25_huber,3,7.468992927984486,16.1938791224327,73.51690685936097,0.8833234119308474
orig_lr003_wd1e3_do25_huber,4,7.86089200552971,16.890707661480295,74.03995518563745,0.8816572757486533
orig_lr003_wd1e3_do25_huber,5,7.268513298228431,16.269307435383993,70.69001553258653,0.8921238540289518
orig_lr003_wd1e3_do25_huber,6,7.133030655471166,16.18476222946229,69.66543964641667,0.8952282899175293
orig_wide_lr003_wd1e3_do15_mse,0,6.110910476406599,15.615911952314148,71.27891737527355,0.8903189858032202
