split,seed,epoch,val_MAPE
temporal,0,65,37.97863866667635
temporal,0,66,30.22541308774548
temporal,0,67,37.84360534649537
temporal,0,68,37.51782129035941
temporal,0,69,41.16312208426115
temporal,0,70,33.78480608051709
temporal,0,71,37.34699960734367
temporal,0,72,38.50824624389364
temporal,0,73,37.29546374572365
temporal,0,74,35.647978440741554
temporal,0,75,39.15232518742809
temporal,0,76,37.098833329760836
temporal,0,77,35.678397341611536
temporal,0,78,41.040658128398356
temporal,0,79,34.16733276950903
temporal,0,80,36.89954542955463
temporal,0,81,35.57275874838001
temporal,0,82,31.462971368470676
temporal,0,83,45.88157331447215
temporal,0,84,43.638119270149986
temporal,0,85,35.148879625911476
temporal,0,86,42.83070326089896
temporal,0,87,35.62722317880132
temporal,0,88,36.99421460968158
temporal,0,89,39.98124022401213
temporal,0,90,38.21976833463938
temporal,0,91,37.676736293908064
temporal,0,92,35.253870961504184
temporal,0,93,37.82841857675488
temporal,0,94,36.14458462850152
temporal,0,95,36.08804610205406
temporal,1,1,54.27479183375926
temporal,1,2,49.85829107240429
temporal,1,3,45.17949231560159
temporal,1,4,47.66844871559859
temporal,1,5,55.48362614797434
temporal,1,6,50.118001651387424
temporal,1,7,33.93342972938909
temporal,1,8,44.102337216997924
temporal,1,9,39.50535968693698
temporal,1,10,33.52627891390429
temporal,1,11,52.36067197219788
temporal,1,12,34.27385649866766
temporal,1,13,34.04457038696248
temporal,1,14,29.22362098197267
temporal,1,15,23.466875430209132
temporal,1,16,31.217596609449544
temporal,1,17,41.232836549835405
temporal,1,18,40.157432992112724
temporal,1,19,26.726629481613884
temporal,1,20,32.31632852359637
temporal,1,21,38.15535824059123
temporal,1,22,27.97466746541517
temporal,1,23,27.091175753639863
temporal,1,24,29.29322310859354
temporal,1,25,35.0611443602784
temporal,1,26,32.828568099542466
temporal,1,27,35.130433073295464
temporal,1,28,46.2577926836949
temporal,1,29,33.95748657736915
temporal,1,30,35.121315910735156
temporal,1,31,33.135228867388754
temporal,1,32,32.339225999530484
temporal,1,33,31.693321966602543
temporal,1,34,26.511465283972303
temporal,1,35,24.176512471530877
temporal,1,36,25.17527601159658
temporal,1,37,35.499792363753386
temporal,1,38,35.995445500107806
temporal,1,39,29.194212033480138
temporal,1,40,28.153357457511785
temporal,1,41,33.62418887790686
temporal,1,42,34.02661776030356
temporal,1,43,29.216717212804745
temporal,1,44,30.578675043016958
temporal,1,45,34.768361025394874
temporal,1,46,32.53057470436011
temporal,1,47,27.542194852748846
temporal,1,48,31.82211104026283
temporal,1,49,29.083284712296333
temporal,1,50,32.44494948800655
temporal,1,51,30.05222964709183
temporal,1,52,33.93279540212674
temporal,1,53,26.15592581721134
temporal,1,54,26.922308929860826
temporal,1,55,32.773818403883865
temporal,1,56,26.98750487103115
temporal,1,57,30.971861260190565
temporal,1,58,31.28940837826846
temporal,1,59,29.695463847101994
temporal,1,60,31.31087970385386
temporal,1,61,29.4201083065683
temporal,1,62,30.617853725430265
temporal,1,63,29.963106627796023
temporal,1,64,26.64011998621585
temporal,1,65,29.065370533475143
temporal,1,66,28.487311117037667
temporal,1,67,34.61255993958603
temporal,1,68,34.42370002503753
temporal,1,69,31.30197089858207
temporal,1,70,31.171728482225735
temporal,1,71,29.210205660431665
temporal,1,72,35.12764582644868
temporal,1,73,31.260772582692613
temporal,1,74,32.72617526222814
temporal,1,75,26.431187014393487
temporal,1,76,40.96726881334904
temporal,1,77,33.578158291709585
temporal,1,78,32.92852192978693
temporal,1,79,30.143923113978566
temporal,1,80,28.957372153685935
temporal,2,1,78.4790002907613
temporal,2,2,72.59856631925658
temporal,2,3,60.29559302179008
temporal,2,4,44.87991877202864
temporal,2,5,56.458555963088166
temporal,2,6,57.97417433829162
temporal,2,7,54.365908232929314
temporal,2,8,54.68014987460661
temporal,2,9,37.06734827961747
temporal,2,10,37.0162007161366
temporal,2,11,39.07111958258301
temporal,2,12,60.98246885999937
temporal,2,13,58.761195151890234
temporal,2,14,52.51879323736605
temporal,2,15,34.61349892985145
temporal,2,16,49.48403677328466
temporal,2,17,36.686352681553004
temporal,2,18,42.2099928628666
temporal,2,19,45.28758978417453
temporal,2,20,47.182276127132525
temporal,2,21,32.02962403500227
temporal,2,22,32.21158166524563
temporal,2,23,34.318425482354236
temporal,2,24,37.02642010614824
