method,lag,n,correlation,hac_se,hac_t,hac_p,hac_p_holm_method,block_p_max_method,block_p_max_global,hac_p_holm_global
Uniform,-8,148,0.09682490278090222,0.01876999469254132,5.158493881693945,2.4894424159119843e-07,4.232052107050374e-06,1.0,1.0,2.1160260535251868e-05
Uniform,-7,149,0.46203205293018373,0.03672086068836465,12.58227732871696,2.642991828253523e-36,6.607479570633807e-35,0.48525147485251474,0.8536146385361464,2.6429918282535227e-34
Uniform,-6,150,0.23894296913777657,0.02569610005663472,9.298802877134714,1.4203581839036828e-20,3.124788004588102e-19,0.9998000199980002,1.0,1.3777474383865722e-18
Uniform,-5,151,-0.13593242850728962,0.031510534650449236,-4.313872487890385,1.604194945850774e-05,0.00017646144404358515,1.0,1.0,0.0012031462093880804
Uniform,-4,152,-0.45107927378836105,0.04480559136883699,-10.067477294855978,7.692586453646248e-24,1.7692948843386372e-22,0.5771422857714229,0.9065093490650935,7.538734724573324e-22
Uniform,-3,153,0.07438859792872815,0.03583724900018379,2.0757340477877255,0.03791855509996981,0.11375566529990944,1.0,1.0,1.0
Uniform,-2,154,0.07333452476242351,0.020270665462164994,3.617766022496979,0.00029715684263371316,0.002080097898435992,1.0,1.0,0.019018037928557642
Uniform,-1,155,0.10316697332866069,0.016465517699941735,6.265637996248714,3.713020131203433e-10,7.054738249286522e-09,1.0,1.0,3.378848319395124e-08
Uniform,0,156,-0.2164678989753494,0.06581809443243684,-3.288881284728727,0.0010058644033117542,0.006035186419870525,0.9998000199980002,1.0,0.0593459997953935
Uniform,1,155,0.10488587682810055,0.02348629944464426,4.465832391999853,7.975803491230833e-06,0.00011166124887723166,1.0,1.0,0.0006380642792984666
Uniform,2,154,0.07672184126542402,0.01740510545810579,4.408007837131119,1.0432577114230143e-05,0.00013562350248499185,1.0,1.0,0.0008241735920241813
Uniform,3,153,-0.060934945416456957,0.07002001982991778,-0.8702503307549904,0.3841636161353912,0.7683272322707824,1.0,1.0,1.0
Uniform,4,152,0.0911083585655005,0.020127835736458592,4.526485597280144,5.997268464827516e-06,8.995902697241273e-05,1.0,1.0,0.0004857787456510288
Uniform,5,151,0.42847573400061023,0.04096588842755291,10.45932971180055,1.3279171452639156e-25,3.187001148633397e-24,0.7308269173082692,0.9673032696730327,1.3146379738112764e-23
Uniform,6,150,0.24471072041420255,0.027124163501785974,9.021871601610483,1.8490285850294629e-19,3.882960028561872e-18,0.9998000199980002,1.0,1.7750674416282842e-17
Uniform,7,149,-0.11011279158128146,0.026082081937896212,-4.221779221592425,2.4238145919135493e-05,0.00024238145919135493,1.0,1.0,0.001769384652096891
Uniform,8,148,-0.4361231900930278,0.050311307550946566,-8.668492458706178,4.3787917520078705e-18,8.75758350401574e-17,0.6831316868313169,0.9525047495250475,4.159852164407477e-16
Uniform,9,147,0.09910914861939749,0.03485438494413631,2.843520227892329,0.004461817712063009,0.017847270848252036,1.0,1.0,0.21862906789108744
Uniform,10,146,0.08489313881404938,0.021930788424906835,3.870956992938564,0.00010840891885387982,0.0009756802696849184,1.0,1.0,0.007480215400917708
Uniform,11,145,0.10080966498368342,0.02150032721886625,4.688750266797071,2.7487859704614356e-06,4.398057552738297e-05,1.0,1.0,0.0002308980215187606
Uniform,12,144,-0.21805864187444304,0.06722650420120935,-3.2436409488405333,0.0011801240570111008,0.006035186419870525,0.9998000199980002,1.0,0.06844719530664384
