Iteration,Training_Loss
762,21421080.0
763,20161096.0
764,39369628.0
765,8516071.0
766,26150682.0
767,1546574.0
768,9807276.0
769,40396670.0
770,37678010.0
771,20852616.0
772,36110590.0
773,7692766.0
774,52728220.0
775,8963136.0
776,28588258.0
777,13695022.0
778,21070236.0
779,18933778.0
780,38496860.0
781,7534284.5
782,25764976.0
783,1632567.8
784,9603133.0
785,39566180.0
786,35959810.0
787,19392322.0
788,35444652.0
789,7611428.0
790,51903384.0
791,8905479.0
792,27548214.0
793,12978577.0
794,20877268.0
795,18945108.0
796,38451868.0
797,7349110.5
798,25189126.0
799,1463402.0
800,9344903.0
801,39259430.0
802,35325028.0
803,19044550.0
804,34811124.0
805,7155321.0
806,51168230.0
807,8713943.0
808,26967534.0
809,12800299.0
810,20871354.0
811,19758384.0
812,38044064.0
813,7441141.5
814,24660364.0
815,1342919.6
816,9288609.0
817,39594660.0
818,36924470.0
819,20387520.0
820,35014820.0
821,7071142.0
822,51621264.0
823,8784862.0
824,28058724.0
825,13576760.0
826,21025172.0
827,18555094.0
828,38386560.0
829,7423622.5
830,25556380.0
831,1635656.9
832,9600606.0
833,39648980.0
834,35493068.0
835,18880652.0
836,35177584.0
837,7571770.5
838,51267250.0
839,8672069.0
840,27218572.0
841,12847331.0
842,20840384.0
843,18633802.0
844,38292270.0
845,7104028.5
846,24795070.0
847,1373805.8
848,9156738.0
849,39054056.0
850,34823184.0
851,18560696.0
852,33980836.0
853,6791335.0
854,49791776.0
855,8387232.5
856,26267982.0
857,12588704.0
858,20693426.0
859,17996952.0
860,37702980.0
861,7034178.5
862,24344746.0
863,1400497.2
864,9292733.0
865,39200330.0
866,35337916.0
867,18900808.0
868,34035420.0
869,6926502.0
870,49911930.0
871,8397745.0
872,26871112.0
873,12845337.0
874,20743158.0
875,18210836.0
876,38072052.0
877,6875224.0
878,24734130.0
879,1407488.2
880,9099126.0
881,38866736.0
882,34240436.0
883,17966670.0
884,33613144.0
885,6753727.0
886,49048244.0
887,8244181.0
888,25797042.0
889,12369507.0
890,20552780.0
891,17775290.0
892,37539464.0
893,6793930.0
894,23894904.0
895,1314982.1
896,9084200.0
897,38842936.0
898,34672612.0
899,18409244.0
900,33241032.0
901,6535436.0
902,48748430.0
903,8161561.0
904,26153914.0
