"Year","Month","estimate","set","rho","saved_old","difference"
2007,2,33.855521778791,"old",0,33.855521778791,-3.5527136788005e-14
2007,3,37.6945684492484,"old",0,37.6945684492484,2.1316282072803e-14
2007,4,33.5808743781561,"old",0,33.5808743781561,-7.105427357601e-15
2007,5,38.7053590596694,"old",0,38.7053590596694,2.1316282072803e-14
2007,6,36.9602582926724,"old",0,36.9602582926724,4.2632564145606e-14
2007,7,38.8007442801057,"old",0,38.8007442801057,-1.4210854715202e-14
2007,8,36.7338717853361,"old",0,36.7338717853361,-1.4210854715202e-14
2007,9,32.8273402925849,"old",0,32.8273402925849,-7.105427357601e-15
2008,1,37.3624807260872,"old",0,37.3624807260872,0
2008,10,35.7880045091079,"old",0,35.7880045091079,-3.5527136788005e-14
2008,11,36.9296951091067,"old",0,36.9296951091067,-3.5527136788005e-14
2008,12,37.6099267676472,"old",0,37.6099267676472,0
2008,2,36.745148993141,"old",0,36.745148993141,3.5527136788005e-14
2008,3,39.1165915125154,"old",0,39.1165915125153,5.6843418860808e-14
2008,4,35.6159967768006,"old",0,35.6159967768006,-2.1316282072803e-14
2008,5,37.6091787237613,"old",0,37.6091787237613,2.8421709430404e-14
2008,6,40.832556558926,"old",0,40.832556558926,-2.8421709430404e-14
2008,7,39.7222103455026,"old",0,39.7222103455026,3.5527136788005e-14
2008,8,38.2395986574369,"old",0,38.2395986574368,4.9737991503207e-14
2008,9,33.9390601023044,"old",0,33.9390601023044,0
2009,1,34.5038790513281,"old",0,34.5038790513281,0
2009,10,31.6618434869577,"old",0,31.6618434869577,-3.90798504668055e-14
2009,11,37.6063434647557,"old",0,37.6063434647557,1.4210854715202e-14
2009,12,37.0223268923694,"old",0,37.0223268923694,2.1316282072803e-14
2009,2,35.6169067082288,"old",0,35.6169067082288,-2.1316282072803e-14
2009,3,37.0941334089327,"old",0,37.0941334089327,1.4210854715202e-14
2009,4,38.217646229763,"old",0,38.217646229763,-2.8421709430404e-14
2009,5,37.7733250845989,"old",0,37.7733250845989,-2.8421709430404e-14
2009,6,40.2172634452594,"old",0,40.2172634452594,-4.2632564145606e-14
2009,7,41.3097383344391,"old",0,41.3097383344391,3.5527136788005e-14
2009,8,40.6980537909665,"old",0,40.6980537909665,7.105427357601e-15
2009,9,33.5997409307427,"old",0,33.5997409307427,4.9737991503207e-14
2010,1,37.3040469306712,"old",0,37.3040469306713,-4.9737991503207e-14
2010,10,33.7926738822277,"old",0,33.7926738822277,-4.2632564145606e-14
2010,11,33.8617637204632,"old",0,33.8617637204632,-2.1316282072803e-14
2010,12,34.748148376648,"old",0,34.748148376648,-3.5527136788005e-14
2010,2,35.5167671637215,"old",0,35.5167671637215,-4.2632564145606e-14
2010,3,37.7073723116369,"old",0,37.7073723116369,-2.8421709430404e-14
2010,4,35.4784044201929,"old",0,35.478404420193,-6.3948846218409e-14
2010,5,38.4418559157215,"old",0,38.4418559157215,4.2632564145606e-14
2010,6,41.9536026516187,"old",0,41.9536026516187,2.1316282072803e-14
2010,7,43.1959120614222,"old",0,43.1959120614222,3.5527136788005e-14
2010,8,39.9343564538418,"old",0,39.9343564538418,2.8421709430404e-14
2010,9,32.7736780022943,"old",0,32.7736780022943,-2.8421709430404e-14
2011,1,38.82756974914,"old",0,38.82756974914,2.1316282072803e-14
2011,10,34.287770858914,"old",0,34.287770858914,-2.1316282072803e-14
2011,11,35.7832906975031,"old",0,35.7832906975031,7.105427357601e-15
2011,12,36.8475352641696,"old",0,36.8475352641696,-4.2632564145606e-14
2011,2,36.3042847743038,"old",0,36.3042847743038,1.4210854715202e-14
2011,3,39.8842644956956,"old",0,39.8842644956956,2.1316282072803e-14
2011,4,36.3475773622168,"old",0,36.3475773622169,-5.6843418860808e-14
2011,5,38.0047273701718,"old",0,38.0047273701718,-7.105427357601e-15
2011,6,40.8768531393658,"old",0,40.8768531393659,-5.6843418860808e-14
2011,7,45.8296516401783,"old",0,45.8296516401783,-2.8421709430404e-14
