method,lag,r,p,n
Sparse,-3,0.1833946028115834,0.018742900220381106,164
Sparse,-2,-0.011851032519227202,0.8799147544975338,165
Sparse,-1,-0.0653351377462604,0.4029762569724584,166
Sparse,0,-0.1636129626945024,0.03462449486260994,167
Sparse,1,0.11648469221041541,0.13503133408196957,166
Sparse,2,0.10756870838884552,0.16905879357765632,165
Sparse,3,-0.06517301610061643,0.4070365528249144,164
Sparse,4,0.2187493002018295,0.0050258944349736235,163
Sparse,5,0.2036786927787933,0.00933212254332426,162
Sparse,6,0.03140160983395394,0.6925220972491711,161
Sparse,7,-0.2916451348132558,0.0001827029528646659,160
Sparse,8,-0.20614714236427098,0.009134746473857737,159
Sparse,9,0.14982907812509683,0.06024601749325293,158
Sparse,10,0.004812330797739012,0.952301524043528,157
Sparse,11,-0.04094941483508693,0.6117636359009686,156
Sparse,12,-0.1336686370005438,0.09728921266890565,155
Chow_Lin_old,-12,0.4764665318393561,3.6866932253890475e-10,155
Chow_Lin_old,-11,0.28827108256382006,0.0002629266093810748,156
Chow_Lin_old,-10,-0.14520062563468358,0.06960875789081404,157
Chow_Lin_old,-9,-0.22880233933018548,0.003832563578968994,158
Chow_Lin_old,-8,0.08139958753738596,0.3077261358641407,159
Chow_Lin_old,-7,0.1749480415950598,0.026919750051096654,160
Chow_Lin_old,-6,0.00506898885514525,0.9491155373261246,161
Chow_Lin_old,-5,0.008401108135385806,0.9155010207123445,162
Chow_Lin_old,-4,-0.13236665317861881,0.09211242820168124,163
Chow_Lin_old,-3,-0.21739411947349138,0.005170245285267209,164
Chow_Lin_old,-2,-0.3678226625653195,1.171889592394623e-06,165
Chow_Lin_old,-1,0.08238963332259845,0.2912925860942016,166
Chow_Lin_old,0,0.46245419325871584,3.140126395063289e-10,167
Chow_Lin_old,1,0.30738336401521943,5.615758577749232e-05,166
Chow_Lin_old,2,-0.1104088479675609,0.1580190161033468,165
Chow_Lin_old,3,-0.2529068468954578,0.0010857951483817499,164
Chow_Lin_old,4,0.06557305319158338,0.40561592116949696,163
Chow_Lin_old,5,0.20137739995272802,0.010180175301266369,162
Chow_Lin_old,6,-0.009509847476496063,0.9046978848633613,161
Chow_Lin_old,7,0.04337396520640686,0.5860309052818611,160
Chow_Lin_old,8,-0.07907818603429148,0.3217720312996358,159
Chow_Lin_old,9,-0.2576508251130192,0.00108209504033527,158
Chow_Lin_old,10,-0.3559237928238382,4.766967407911052e-06,157
Chow_Lin_old,11,0.11041293251330221,0.17001201172846014,156
Chow_Lin_old,12,0.47499921146878854,4.2448208403439645e-10,155
