run_name,run_id,state,variant,created_at,batch_size,learning_rate,hidden1_dim,hidden2_dim,hidden3_dim,embedding_dim,size_ensemble,num_epochs,patience,lr_milestone,lr_gamma,optimizer,weight_decay,dropout_rate,dataset_variant_cfg,test_rmse,test_mae,test_mape,test_r2,val_rmse,val_mae,val_mape,train_rmse
v82umixu,UnVuOnYxOnY4MnVtaXh1Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T14:11:40Z,64.0,0.01451556379978059,256.0,0.0,32.0,4.0,5.0,30000.0,12000.0,800.0,0.1,adamw,0.001,0.3,AGTwRD,237.31961059570312,152.00082397460938,80.83614349365234,-2.2401607036590576,185.7869415283203,122.08209991455078,83.19095611572266,141.82643127441406
drttmbws,UnVuOnYxOmRydHRtYndzOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T13:56:18Z,16.0,0.013357522804193278,200.0,32.0,0.0,4.0,3.0,18000.0,12000.0,300.0,0.5,adamw,0.0,0.0,LagRD,7393.29150390625,4872.126953125,11799.7734375,-1295.7708740234375,7520.4560546875,5045.9765625,12945.33984375,11813.1201171875
r5xh43jw,UnVuOnYxOnI1eGg0M2p3Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T12:56:19Z,64.0,0.00157827518594341,256.0,32.0,0.0,4.0,5.0,30000.0,12000.0,1200.0,0.5,adamw,0.0,0.0,LagRD,1163.361572265625,732.291259765625,627.1199951171875,-31.10827255249023,1103.796630859375,695.7474975585938,689.4560546875,1079.0796875
395bhyd2,UnVuOnYxOjM5NWJoeWQyOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-11T12:56:14Z,64.0,0.001660769075871048,256.0,32.0,16.0,4.0,5.0,30000.0,12000.0,1200.0,0.5,adamw,0.001,0.3,Macros,172.92091369628906,145.52308654785156,174.6864013671875,0.243841290473938,151.58929443359375,138.1420135498047,210.07058715820312,161.85467834472655
z5stbzdl,UnVuOnYxOno1c3RiemRsOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-11T12:46:16Z,64.0,0.0071566863395512905,128.0,32.0,32.0,4.0,5.0,30000.0,12000.0,800.0,0.1,adamw,0.0001,0.3,Macros,180.74468994140625,147.48745727539062,175.86965942382812,0.1738688349723816,149.012451171875,133.07290649414062,198.7164001464844,145.87482147216798
hr8seuvy,UnVuOnYxOmhyOHNldXZ5Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T12:44:27Z,64.0,0.0035769857106791652,128.0,16.0,32.0,4.0,5.0,30000.0,4000.0,1200.0,0.3,adamw,0.001,0.2,AGTwRD,208.39996337890625,165.0430450439453,191.23963928222656,-1.4985876083374023,168.69155883789062,144.8321990966797,209.66847229003903,151.69937133789062
iaqpnsac,UnVuOnYxOmlhcXBuc2FjOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T07:37:21Z,32.0,0.002478441059416644,128.0,32.0,32.0,4.0,3.0,12000.0,12000.0,300.0,0.5,adamw,0.0,0.0,MGTwRD,152.8827667236328,113.96046447753906,109.44564056396484,-1.5612800121307373,125.73285675048828,96.4864730834961,111.31849670410156,138.1669921875
n254ibzi,UnVuOnYxOm4yNTRpYnppOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T07:31:02Z,64.0,0.0008312074971222865,256.0,0.0,32.0,4.0,5.0,30000.0,8000.0,1200.0,0.1,adamw,0.001,0.2,AGTwRD,187.5471649169922,157.04859924316406,222.5718536376953,-1.0235798358917236,104.0610809326172,93.57737731933594,141.05564880371094,172.00018463134765
0odpbuyh,UnVuOnYxOjBvZHBidXloOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T07:27:53Z,64.0,0.010141114035694922,200.0,20.0,32.0,4.0,5.0,18000.0,12000.0,300.0,0.5,adamw,0.0,0.0,LagRD,110.18132781982422,79.85547637939453,80.83551025390625,0.7119927406311035,112.44322967529295,81.31927490234375,86.7206802368164,136.04195098876954
d9de813j,UnVuOnYxOmQ5ZGU4MTNqOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T06:57:16Z,64.0,0.0006987098938095828,256.0,32.0,32.0,4.0,5.0,12000.0,12000.0,300.0,0.5,adamw,0.0,0.0,LagRD,861.3338012695312,456.95501708984375,289.0828552246094,-16.600725173950195,781.2213134765625,425.9094543457031,318.8859558105469,747.236669921875
kyk1r6s8,UnVuOnYxOmt5azFyNnM4Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-11T06:43:31Z,64.0,0.009242344066212712,200.0,32.0,20.0,4.0,5.0,12000.0,12000.0,1200.0,0.5,adamw,0.0,0.3,Macros,204.8157958984375,127.01394653320312,87.88597869873047,-0.06082761287689209,157.84979248046875,109.25973510742188,103.69429779052734,127.1210189819336
