draw,delta,Year,Month,NN,Sax,Mosley,date
13,0.015012914313941325,2011,3,41.56805184929437,39.8842644956956,43.4273188213024,2011-03-01
13,0.015012914313941325,2011,4,38.08973039278438,36.3475773622169,41.0401340500366,2011-04-01
13,0.015012914313941325,2011,5,41.649231325170405,38.0047273701718,38.0567237299561,2011-05-01
13,0.015012914313941325,2011,6,42.32409495234174,40.8768531393659,38.4856959971162,2011-06-01
13,0.015012914313941325,2011,7,41.33152227711828,45.8296516401783,37.7637950698583,2011-07-01
13,0.015012914313941325,2011,8,42.043242640866225,38.9519616896249,37.7962369281492,2011-08-01
13,0.015012914313941325,2011,9,45.41242013517765,33.5801858675042,35.4779181051565,2011-09-01
13,0.015012914313941325,2011,10,33.063535355528266,34.287770858914,36.6412974380226,2011-10-01
13,0.015012914313941325,2011,11,31.46830974100364,35.7832906975031,35.6159709688511,2011-11-01
13,0.015012914313941325,2011,12,31.59781818599309,36.8475352641696,33.2250358073384,2011-12-01
13,0.015012914313941325,2012,1,28.290361965411474,38.3322423380927,40.3176817337952,2012-01-01
13,0.015012914313941325,2012,2,36.94733723369963,37.849118334681,40.7940533754154,2012-02-01
13,0.015012914313941325,2012,3,37.13503119638054,37.9967734699162,39.7297014335373,2012-03-01
13,0.015012914313941325,2012,4,40.5152310176658,37.9247616326346,38.657801840876,2012-04-01
13,0.015012914313941325,2012,5,37.32248018043356,39.6361796464693,39.6642533244553,2012-05-01
13,0.015012914313941325,2012,6,42.52677444783543,44.054969566281,40.4733220112585,2012-06-01
13,0.015012914313941325,2012,7,40.23308003445127,44.6772384463298,36.9580012999513,2012-07-01
13,0.015012914313941325,2012,8,42.11106447994893,38.2830406023781,37.3302533538792,2012-08-01
13,0.015012914313941325,2012,9,40.83437767673344,33.1110943666381,37.548880461094,2012-09-01
13,0.015012914313941325,2012,10,38.27935822921786,34.30355280596,37.8159263528314,2012-10-01
13,0.015012914313941325,2012,11,38.052118427264354,32.7110470730984,33.4829459068017,2012-11-01
13,0.015012914313941325,2012,12,32.57319178985574,35.9403883964189,32.0475855850027,2012-12-01
13,0.015012914313941325,2013,1,38.83140651885076,38.6598074655354,38.9376973635049,2013-01-01
13,0.015012914313941325,2013,2,38.37256205977022,38.482854913421,39.6320176398373,2013-02-01
13,0.015012914313941325,2013,3,34.29189903713377,38.9224580300009,39.0331014104391,2013-03-01
13,0.015012914313941325,2013,4,36.5642841728033,37.6740779868615,40.1145563875472,2013-04-01
13,0.015012914313941325,2013,5,37.13525238762637,40.2919060960009,40.1772863496426,2013-05-01
13,0.015012914313941325,2013,6,39.323303980496746,44.9133973922323,39.6177304571196,2013-06-01
