Variant,seed,best_val_MAPE,test_MAPE,test_RMSE,test_R2
wide64_mse_wd1e3_s15,9,6.054431763506668,15.255265095800407,89.35058690582392,0.8276528575220885
wide64_mse_wd1e3_s15,10,4.71291522533604,14.480285343440965,73.69405755678024,0.8827604328049485
wide64_mse_wd1e3_s15,11,5.647209824958986,14.189939530508749,66.7891154652535,0.9037012495693607
wide64_mse_wd1e3_s15,12,4.68899152753214,10.637932559198712,49.65005819885705,0.9467831956341484
wide64_mse_wd1e3_s15,13,5.697032520196718,13.775266868763419,73.07291706682649,0.8847284434825089
wide64_mse_wd1e3_s15,14,6.2331754073728325,15.89998392679917,78.35117061143178,0.8674742572265621
medium_ln_mse_s15,0,6.473788924683101,16.913611009397655,77.98310117155626,0.8687164620846379
medium_ln_mse_s15,1,5.862463229478504,18.141751420053897,94.4416256524826,0.8074532571977515
medium_ln_mse_s15,2,5.654400406002691,16.202018344859514,79.49688028149849,0.8635701380145719
medium_ln_mse_s15,3,5.6428762264917856,15.252027969736679,73.15483176569693,0.8844698599278416
medium_ln_mse_s15,4,5.651248181504939,16.139073525668774,81.0561978498968,0.8581655514610721
medium_ln_mse_s15,5,6.1293977985863775,16.94554332267437,82.5408729491976,0.8529221125071387
medium_ln_mse_s15,6,6.238735873580033,18.19187379424589,87.82645791947546,0.8334824533340367
medium_ln_mse_s15,7,5.468996833956971,14.260671735083234,67.89152684987296,0.9004960274099294
medium_ln_mse_s15,8,6.090130377028272,16.608925010971042,81.05472436355572,0.8581707081111145
medium_ln_mse_s15,9,6.110949445246244,16.90690719167519,78.52768175898616,0.8668764711296333
medium_ln_mse_s15,10,5.872222271700777,16.42387086216347,82.02893140441874,0.8547408909393053
medium_ln_mse_s15,11,5.1554187160733855,14.865775542399076,68.57863633615756,0.8984717365068771
medium_ln_mse_s15,12,6.140870649998425,16.943655117459457,85.47865918571604,0.8422662347183903
medium_ln_mse_s15,13,5.918890181553029,16.802882251139415,80.71748668638428,0.8593484477133504
medium_ln_mse_s15,14,5.368975358423681,15.235542795508279,74.20130332880454,0.8811409279459648
wide48_huber_wd1e3_s15,0,6.342993841558059,15.216482942742973,75.27287467955992,0.877683154491916
wide48_huber_wd1e3_s15,1,6.426927135520775,16.42529774181008,81.39179656501511,0.8569886396767922
wide48_huber_wd1e3_s15,2,4.933297078179141,14.517845983446701,78.08162593719054,0.8683845222021896
wide48_huber_wd1e3_s15,3,5.841139069711743,13.633008844368621,65.27791219379367,0.9080097541276732
wide48_huber_wd1e3_s15,4,4.928628690695567,16.143219975140692,88.73166242467896,0.8300322580953821
wide48_huber_wd1e3_s15,5,6.8421102116786665,15.450549235296346,75.9721765764352,0.8753998956517504
wide48_huber_wd1e3_s15,6,5.258487319762536,16.26136798155156,82.49108200367235,0.853099501915798
wide48_huber_wd1e3_s15,7,5.842499230981736,17.652607916572325,88.49573646234607,0.8309349007800064
wide48_huber_wd1e3_s15,8,5.932493743171758,17.019007504743982,92.25941064061104,0.8162486154872952
wide48_huber_wd1e3_s15,9,5.347850672587721,11.40957607388603,54.05929390123845,0.9369115284612721
wide48_huber_wd1e3_s15,10,5.351744094851818,13.007948759744437,63.85377698985911,0.9119797798655345
wide48_huber_wd1e3_s15,11,6.140785629214326,14.129013640509628,75.72761567712531,0.8762008011532028
wide48_huber_wd1e3_s15,12,5.74060135635997,15.281809457721693,84.09606765056111,0.8473275604471862
wide48_huber_wd1e3_s15,13,5.033593433967633,12.518341462225752,64.43074200407769,0.9103819409376465
wide48_huber_wd1e3_s15,14,6.389024461746122,15.917890437855045,88.31896049814739,0.8316096631327526
wide64_huber_wd5e4_s15,0,6.308855169366195,14.783002354853704,57.507549050864974,0.9286064487444176
wide64_huber_wd5e4_s15,1,5.546617915349716,13.246773168926138,57.94653478073819,0.9275123186331882
wide64_huber_wd5e4_s15,2,5.307971986178668,14.71211486702735,87.30639465513005,0.8354486776709986
wide64_huber_wd5e4_s15,3,6.3907450891986795,13.421724260984162,62.20670016836617,0.9164620917336052
wide64_huber_wd5e4_s15,4,5.577119679051703,15.788139953151168,75.24466915827954,0.8777748040808656
wide64_huber_wd5e4_s15,5,6.247235699427538,14.66040180909189,78.4824883099257,0.8670296548239177
wide64_huber_wd5e4_s15,6,6.318857138623351,14.963303383147043,80.76657719463614,0.8591773136481611
wide64_huber_wd5e4_s15,7,6.075253766476113,15.143382822377111,84.10083884168681,0.8473102362113971
wide64_huber_wd5e4_s15,8,5.370860812640276,15.095194452082723,78.66236050978127,0.866419453052958
wide64_huber_wd5e4_s15,9,5.903514188093774,15.072191549644618,87.65114195717392,0.8341465822865599
wide64_huber_wd5e4_s15,10,4.855810557079003,12.615817080840339,58.83771475178734,0.92526554685687
wide64_huber_wd5e4_s15,11,5.723792474340185,13.617679306338035,68.12238469706101,0.8998181717292594
wide64_huber_wd5e4_s15,12,4.773367421280328,10.951994560540667,51.38051859016147,0.943009005599128
wide64_huber_wd5e4_s15,13,6.547456787950319,14.509772962893416,75.63384764653077,0.876507194535215
wide64_huber_wd5e4_s15,14,5.980505833762043,16.469067520460428,94.44119615989172,0.8074550084850853
