Year,Month,NN,Sax,Mosley,date
2014,11,41.05529890567528,36.4040758302433,36.6245713400252,2014-11-01
2014,12,34.85954438565682,38.3119244000526,35.6113778389766,2014-12-01
2015,1,36.5964631886297,40.4351121581914,40.6233282606909,2015-01-01
2015,2,32.461543683493005,41.862716517406,41.4446414962576,2015-02-01
2015,3,39.17407867512497,43.9230828008522,43.6444823896855,2015-03-01
2015,4,38.75380520687785,42.7193714359559,45.7748387074028,2015-04-01
2015,5,45.3437540732868,46.041704675894,43.5386171480685,2015-05-01
2015,6,46.14533229022846,46.5310407805877,43.4375246680306,2015-06-01
2015,7,39.459860739730246,49.1340168659524,42.0698780049277,2015-07-01
2015,8,47.785732185260635,46.788206762691,45.2061093006287,2015-08-01
2015,9,48.86239638217985,36.1709420535705,41.2773982459624,2015-09-01
2015,10,48.92479143462234,37.0888753321751,42.3842275681599,2015-10-01
2015,11,42.537811645640815,37.3910899332173,39.6766045736136,2015-11-01
2015,12,41.35543049492532,39.3148406835066,38.3233496365718,2015-12-01
2016,1,38.75438683919624,43.1070227934286,45.647177617306,2016-01-01
2016,2,35.884279686430986,40.7569701187678,46.1285673135061,2016-02-01
2016,3,37.901014373360354,43.8900106497481,46.2872775254006,2016-03-01
2016,4,37.47570122626149,42.2166914608195,46.5805730083508,2016-04-01
2016,5,46.35790491804277,44.5682496789465,46.2536316765223,2016-05-01
2016,6,41.40478886337451,50.4854512449744,46.625375489312,2016-06-01
2016,7,42.56260271105574,54.0219604993,45.6341686153499,2016-07-01
2016,8,44.44627280036833,47.0831215225129,44.1001014359143,2016-08-01
2016,9,48.44128999779139,37.7821101296772,43.8158226054356,2016-09-01
2016,10,50.73371599625856,39.9716502349646,43.4356693793418,2016-10-01
2016,11,54.78603518342049,40.9267349449318,38.2789087698635,2016-11-01
2016,12,49.4237083074962,43.3617276249856,35.3844274667541,2016-12-01
2017,1,34.88683578008511,47.2013571295342,41.8731281449768,2017-01-01
2017,2,29.596832596103617,40.8153403533238,42.8029557323669,2017-02-01
2017,3,37.18644137406443,43.9273773193896,44.8845499619526,2017-03-01
2017,4,58.49986123375173,52.2413131786613,54.7276013029209,2017-04-01
2017,5,61.57313963947675,44.9968825849721,46.6569288934822,2017-05-01
2017,6,45.185036623807555,51.1416973972573,45.7481121069065,2017-06-01
2017,7,50.50292995418979,54.3687012648094,44.422450512367,2017-07-01
2017,8,39.621248044044385,47.9333732806726,45.5407340032456,2017-08-01
2017,9,53.84572586758815,44.7173920794819,45.3115237366154,2017-09-01
2017,10,68.47243656280232,38.6022442401824,50.0025453561715,2017-10-01
2017,11,42.675205895357564,40.7389327951698,46.6683804450848,2017-11-01
2017,12,27.585275955368648,42.9463579031858,40.9920593305498,2017-12-01
2018,1,41.2942141199473,43.1685360084075,48.7125272080325,2018-01-01
2018,2,45.32798676306434,44.5410170166975,50.925620185986,2018-02-01
2018,3,46.30263786712788,50.0020448720278,51.3499000887713,2018-03-01
2018,4,44.678899624083144,48.301590594633,51.3011191115688,2018-04-01
2018,5,49.54480075780823,55.2542531197527,48.599540229475,2018-05-01
2018,6,48.27409531286211,58.7092885457592,48.2224223084975,2018-06-01
2018,7,45.11637560019081,59.7034984216858,49.5918806540573,2018-07-01
2018,8,42.1733592570937,50.9941444695278,48.7065430850094,2018-08-01
2018,9,49.92127302258099,38.8205455481799,45.0138975884834,2018-09-01
2018,10,57.98457937393557,41.7322318492964,49.1501006965849,2018-10-01
2018,11,60.40950087219487,45.0810192438188,47.8023891932594,2018-11-01
2018,12,55.39962318111913,50.1191760622214,47.0514054022826,2018-12-01
2019,1,34.35007131514369,49.1027900586767,54.80031396567,2019-01-01
2019,2,45.97614208785612,48.4212107182351,54.8018654374564,2019-02-01
2019,3,38.266867580290906,46.6341346430487,52.8627757344798,2019-03-01
