Year,Month,NN_temporal,Sax,Mosley
2008,11,32.71712895012115,36.9296951091067,34.0869254179271
2008,12,29.51012251679344,37.6099267676472,35.6210118513054
2009,1,33.29135614604823,34.5038790513281,35.2489393544582
2009,2,45.54649424068819,35.6169067082288,36.8706860077405
2009,3,58.385382400754274,37.0941334089327,39.0561565142298
2009,4,51.51089954807362,38.217646229763,38.5499542854467
2009,5,38.140860944798796,37.7733250845989,36.5088271719195
2009,6,38.744732355484,40.2172634452594,38.6856689638381
2009,7,33.52987574949674,41.3097383344391,37.2093057707204
2009,8,34.1170084962646,40.6980537909665,38.2141263957071
2009,9,24.84713688874244,33.5997409307427,35.8982124925994
2009,10,39.55709721805741,31.6618434869577,39.0599893575749
2009,11,27.923469853670564,37.6063434647557,35.9400016408502
2009,12,19.726886986263146,37.0223268923694,34.0793328732573
2010,1,43.17484305672751,37.3040469306713,37.3324562217654
2010,2,50.03871558897108,35.5167671637215,37.7185865053814
2010,3,56.16535912638877,37.7073723116369,43.8650382103662
2010,4,60.58326767749165,35.478404420193,42.4547292761795
2010,5,30.848805628372226,38.4418559157215,37.9212417405837
2010,6,36.11572832413792,41.9536026516187,37.3294387953287
2010,7,31.957382341107902,43.1959120614222,36.5611825537783
2010,8,29.07095108053642,39.9343564538418,35.9587758287146
2010,9,18.83368203181681,32.7736780022943,33.3616731436752
2010,10,25.560721193375272,33.7926738822277,34.3210838547451
2010,11,38.10832828212708,33.8617637204632,36.323907300291
2010,12,24.250797559407317,34.748148376648,31.560468459651
2011,1,48.22844154535213,38.82756974914,39.8456401814422
2011,2,44.86986329891439,36.3042847743038,38.1499058115584
2011,3,49.20929891000726,39.8842644956956,43.4273188213024
2011,4,47.25308515138793,36.3475773622169,41.0401340500366
2011,5,28.902048897306965,38.0047273701718,38.0567237299561
2011,6,41.84013824739456,40.8768531393659,38.4856959971162
2011,7,32.294989198468464,45.8296516401783,37.7637950698583
2011,8,34.199507231477696,38.9519616896249,37.7962369281492
2011,9,26.296638946270594,33.5801858675042,35.4779181051565
2011,10,32.70216613508042,34.287770858914,36.6412974380226
2011,11,32.54309813141844,35.7832906975031,35.6159709688511
2011,12,37.186397215709164,36.8475352641696,33.2250358073384
2012,1,56.82704059721972,38.3322423380927,40.3176817337952
2012,2,41.88820313626632,37.849118334681,40.7940533754154
2012,3,44.241807904039504,37.9967734699162,39.7297014335373
2012,4,45.141801925949494,37.9247616326346,38.657801840876
2012,5,35.12815643631429,39.6361796464693,39.6642533244553
2012,6,32.5482933905383,44.054969566281,40.4733220112585
2012,7,30.024982381826803,44.6772384463298,36.9580012999513
2012,8,35.68245553407979,38.2830406023781,37.3302533538792
2012,9,26.396614858607517,33.1110943666381,37.548880461094
2012,10,36.301024313173144,34.30355280596,37.8159263528314
2012,11,38.016700819051216,32.7110470730984,33.4829459068017
2012,12,32.62332538183197,35.9403883964189,32.0475855850027
2013,1,45.97842145473991,38.6598074655354,38.9376973635049
2013,2,48.38498118324,38.482854913421,39.6320176398373
2013,3,50.86363196167296,38.9224580300009,39.0331014104391
2013,4,55.84113303850698,37.6740779868615,40.1145563875472
2013,5,30.11923605806245,40.2919060960009,40.1772863496426
2013,6,33.061750236711106,44.9133973922323,39.6177304571196
2013,7,32.625329554017185,44.2024921071675,39.0005855114321
2013,8,34.64475016118828,43.4207795351011,39.7265644463031
2013,9,30.722289997357173,35.4384949539802,38.1497664012638
2013,10,35.7200882467121,32.408200446948,38.7856571306215
2013,11,38.59453510786894,36.9096909339997,38.7432044559623
2013,12,31.72107717157288,36.9530643104017,36.3590566179765
2014,1,51.67492438624266,36.9706561174853,41.1461640241047
2014,2,56.83475624471224,40.5507147863867,43.5595357498045
2014,3,52.23409205419548,39.1688663366842,40.333382756249
2014,4,53.983269670077284,40.0036708920944,42.6719933564589
2014,5,37.004226164621194,41.4698345946414,39.8435210040486
2014,6,33.459397970650876,46.1984845714102,39.4011763106138
2014,7,27.33471311296119,46.8767165086491,42.6564183389162
2014,8,36.037329123812846,45.246495148809,39.9498938636086
2014,9,29.969896911590475,36.2432135115929,40.7307648665664
2014,10,33.02016053254724,34.3308299240178,39.2466831726946
2014,11,32.054174608720196,36.4040758302433,36.6245713400252
2014,12,38.16854184193524,38.3119244000526,35.6113778389766
2015,1,44.330580271814256,40.4351121581914,40.6233282606909
2015,2,51.94849256034119,41.862716517406,41.4446414962576
2015,3,53.745359650179395,43.9230828008522,43.6444823896855
2015,4,59.52186424569671,42.7193714359559,45.7748387074028
2015,5,36.53033257581657,46.041704675894,43.5386171480685
2015,6,33.776301035058246,46.5310407805877,43.4375246680306
2015,7,26.756471989329103,49.1340168659524,42.0698780049277
2015,8,35.693611327940445,46.788206762691,45.2061093006287
2015,9,38.862028042427255,36.1709420535705,41.2773982459624
2015,10,43.499333429872244,37.0888753321751,42.3842275681599
2015,11,39.726962251328224,37.3910899332173,39.6766045736136
2015,12,43.009662620196366,39.3148406835066,38.3233496365718
2016,1,61.93037885727897,43.1070227934286,45.647177617306
2016,2,64.1669545695562,40.7569701187678,46.1285673135061
2016,3,61.03093011220754,43.8900106497481,46.2872775254006
2016,4,64.39349185275292,42.2166914608195,46.5805730083508
2016,5,43.80632750483755,44.5682496789465,46.2536316765223
2016,6,41.14655188960249,50.4854512449744,46.625375489312
2016,7,26.88804290484112,54.0219604993,45.6341686153499
2016,8,38.77708498871412,47.0831215225129,44.1001014359143
2016,9,43.67750200298161,37.7821101296772,43.8158226054356
2016,10,38.02529130959292,39.9716502349646,43.4356693793418
2016,11,16.426868983005335,40.9267349449318,38.2789087698635
2016,12,27.902275927686308,43.3617276249856,35.3844274667541
2017,1,49.985402335096644,47.2013571295342,41.8731281449768
2017,2,57.0481125775809,40.8153403533238,42.8029557323669
2017,3,52.51029160186211,43.9273773193896,44.8845499619526
2017,4,47.75884414875436,52.2413131786613,54.7276013029209
2017,5,50.80039490197883,44.9968825849721,46.6569288934822
2017,6,36.3441081052466,51.1416973972573,45.7481121069065
2017,7,30.25379403065444,54.3687012648094,44.422450512367
2017,8,47.047214841305745,47.9333732806726,45.5407340032456
2017,9,39.3171675552766,44.7173920794819,45.3115237366154
2017,10,45.0334266486005,38.6022442401824,50.0025453561715
2017,11,51.50170126058598,40.7389327951698,46.6683804450848
2017,12,42.030511519697306,42.9463579031858,40.9920593305498
2018,1,40.510015247838844,43.1685360084075,48.7125272080325
2018,2,48.776123725121636,44.5410170166975,50.925620185986
2018,3,64.88878874882965,50.0020448720278,51.3499000887713
2018,4,73.85278069553662,48.301590594633,51.3011191115688
2018,5,52.937134310189016,55.2542531197527,48.599540229475
2018,6,35.84202845431815,58.7092885457592,48.2224223084975
2018,7,36.94805042892223,59.7034984216858,49.5918806540573
2018,8,50.51370634191276,50.9941444695278,48.7065430850094
2018,9,29.947057052844343,38.8205455481799,45.0138975884834
2018,10,34.31874459892536,41.7322318492964,49.1501006965849
2018,11,60.3420223695389,45.0810192438188,47.8023891932594
2018,12,57.55089377803051,50.1191760622214,47.0514054022826
2019,1,56.830862844448006,49.1027900586767,54.80031396567
2019,2,63.26054117031825,48.4212107182351,54.8018654374564
2019,3,67.57284894439634,46.6341346430487,52.8627757344798
2019,4,72.9848596544094,46.7104632536931,54.4785751133591
2019,5,58.32426630952818,53.6810072768872,53.8152679590093
2019,6,52.80295499164288,64.3453719534517,57.1244135901273
2019,7,43.673337198511376,62.2324027328319,52.3677447435473
2019,8,49.66579836449255,58.1899328060781,51.7154098748861
2019,9,42.4740879150828,52.0832504781083,50.7945917148856
2019,10,45.81122547192312,52.0346633211114,51.40141739702
2019,11,45.04686729002529,49.149651590035,49.3466538919055
2019,12,33.397802824315875,49.2605741469367,48.3364235567478
2020,1,91.22036366229253,64.8575094903009,56.3847411440971
2020,2,86.6301484587867,57.1789485216787,56.7782221948502
2020,3,48.926603607345996,48.8417392938259,58.9501577729054
2020,4,56.27843296375258,41.4356584765189,53.7960459898724
2020,5,61.793891074199756,55.8991122379014,55.0128236229421
2020,6,72.81135066771932,62.281890575743,58.5546511138948
2020,7,59.22184929821227,64.4119585243446,60.8714668704801
2020,8,49.30904706100696,55.0352772661056,57.0970500308191
2020,9,39.9736635833033,48.1622180077298,56.7261777202564
2020,10,31.56805497581949,58.144948248659,53.4167229920692
2020,11,34.64805063422669,55.2957635785278,49.372735857701
2020,12,39.58181206131742,60.4182438266475,55.0024727380952
2021,1,42.297410088101685,57.1981276158798,65.494543345899
2021,2,67.301840526643,57.0099001603085,68.0164089378144
2021,3,74.73217498268734,60.0515078197742,62.7570050625515
2021,4,64.7791023555441,57.1901593642567,58.0122687177382
2021,5,58.16709286254614,61.9078286688688,58.8769278343267
2021,6,46.385056001036034,64.4759300431366,58.723047507006
2021,7,35.982424563574114,66.4385154023582,55.5378475709677
2021,8,46.321010226438,63.9056310116516,58.1546681900062
2021,9,69.74354248078855,52.9951935425598,58.064936723569
2021,10,72.24840383372849,53.703170278717,57.2116986094352
2021,11,60.07525858624562,57.5208445648773,57.8179049496696
2021,12,71.67958380500797,57.3160918399525,51.0456428633576
