Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model,Variation
FI,3,247.4722723,266.9655551,5.596157568,ElasticNet,Macros,Related
FR,1,862.7073205,980.5539262,1.849805215,ElasticNet,Macros,Related
FR,2,942.0867483,1055.919693,2.043741623,ElasticNet,Macros,Related
FR,3,958.7466778,1073.858582,2.083415117,ElasticNet,Macros,Related
DE,1,2156.575678,2521.925528,2.869351524,ElasticNet,Macros,Related
DE,2,2248.142867,2624.937763,2.997389767,ElasticNet,Macros,Related
DE,3,2248.149373,2624.944999,2.997398461,ElasticNet,Macros,Related
GR,1,112.9464939,166.4371419,6.602207577,ElasticNet,Macros,Related
GR,2,125.8194633,147.0134615,7.005935264,ElasticNet,Macros,Related
GR,3,90.55498214,132.8117481,5.516324608,ElasticNet,Macros,Related
HU,1,180.7348997,248.7688805,6.893969781,ElasticNet,Macros,Related
HU,2,274.8742792,337.7140243,9.97864217,ElasticNet,Macros,Related
HU,3,277.2640412,338.8286827,10.05595684,ElasticNet,Macros,Related
IS,1,37.9320059,40.68931459,19.51031963,ElasticNet,Macros,Related
IS,2,42.58834994,50.46577578,19.01316342,ElasticNet,Macros,Related
IS,3,41.05940195,52.67611808,17.34739584,ElasticNet,Macros,Related
IE,1,79.11680131,101.8596146,2.480346647,ElasticNet,Macros,Related
IE,2,48.91743828,57.48112113,2.090761866,ElasticNet,Macros,Related
IE,3,71.43120823,85.50854317,2.706557976,ElasticNet,Macros,Related
IT,1,864.6871995,1015.748902,4.141602329,ElasticNet,Macros,Related
IT,2,889.6635212,1047.347546,4.262553367,ElasticNet,Macros,Related
IT,3,896.5749115,1054.754955,4.295378734,ElasticNet,Macros,Related
JP,1,3382.283792,3625.25494,2.785618815,ElasticNet,Macros,Related
JP,2,3457.282106,3695.346486,2.849669591,ElasticNet,Macros,Related
JP,3,3225.227777,3556.993213,2.712843557,ElasticNet,Macros,Related
KR,1,1085.307918,1336.811093,2.91376648,ElasticNet,Macros,Related
KR,2,1368.422257,1739.959507,3.887767478,ElasticNet,Macros,Related
KR,3,1370.689939,1587.216099,3.84267134,ElasticNet,Macros,Related
LU,1,62.32160696,62.5299509,8.321844128,ElasticNet,Macros,Related
LU,2,39.53203209,46.02635215,5.128531757,ElasticNet,Macros,Related
LU,3,62.32160696,62.5299509,8.321844128,ElasticNet,Macros,Related
MX,1,396.0290513,523.2513306,4.953639671,ElasticNet,Macros,Related
MX,2,402.8009417,529.5858043,5.07823299,ElasticNet,Macros,Related
MX,3,458.5690505,594.1922979,5.997041468,ElasticNet,Macros,Related
NL,1,394.1189195,521.594498,3.085305077,ElasticNet,Macros,Related
NL,2,417.3945551,544.7208047,3.248346415,ElasticNet,Macros,Related
NL,3,394.7212822,504.3909643,3.095057566,ElasticNet,Macros,Related
NZ,1,100.8866664,133.1429089,4.977221409,ElasticNet,Macros,Related
NZ,2,117.0284731,153.6451072,5.823853705,ElasticNet,Macros,Related
NZ,3,120.2589924,157.5648889,6.015930539,ElasticNet,Macros,Related
NO,1,137.6592499,163.2439878,2.473424619,ElasticNet,Macros,Related
NO,2,202.3298444,244.5873309,3.715091619,ElasticNet,Macros,Related
NO,3,277.2971628,333.6943672,4.96017394,ElasticNet,Macros,Related
PL,1,751.2890598,922.8914118,6.341551207,ElasticNet,Macros,Related
PL,2,834.9996329,1171.221076,6.202072721,ElasticNet,Macros,Related
PL,3,824.3552042,1154.392937,6.08197548,ElasticNet,Macros,Related
PT,1,169.5637277,350.4013793,6.204640877,ElasticNet,Macros,Related
PT,2,184.5645644,352.0473539,7.046853733,ElasticNet,Macros,Related
PT,3,174.493663,318.6552721,6.600383799,ElasticNet,Macros,Related
SK,1,166.9917809,267.5756829,10.6267991,ElasticNet,Macros,Related
SK,2,188.4366925,278.5760188,12.35596695,ElasticNet,Macros,Related
SK,3,180.814917,275.3237752,12.42537536,ElasticNet,Macros,Related
