Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model
GB,2,521.3327565501514,1882.2889415307347,0.960806817400672,ElasticNet,MGTwRD
GB,3,527.2259386249228,1882.0223827371851,0.9701116065442544,ElasticNet,MGTwRD
US,1,2897.6524681726496,4455.300139417571,0.6365327279481091,ElasticNet,MGTwRD
US,2,3022.928376340511,4479.899961996363,0.6619339664326669,ElasticNet,MGTwRD
US,3,3023.8613599207915,4480.1928355462305,0.6621375941772155,ElasticNet,MGTwRD
CN,1,3746.523798335904,6729.531794456125,2.020290253370022,ElasticNet,MGTwRD
CN,2,4136.759104096807,6788.052238384626,2.1135375518274424,ElasticNet,MGTwRD
CN,3,4159.486570341231,6807.715311299221,2.176483500060642,ElasticNet,MGTwRD
CA,1,411.4622203236815,508.1705643323465,2.429844745427537,ElasticNet,AGTwRD
CA,2,425.102659473725,514.5624591251229,2.5545598712790554,ElasticNet,AGTwRD
CA,3,435.0509065200074,526.0614435620639,2.5811987807037555,ElasticNet,AGTwRD
DE,1,2198.7028428925996,2493.506537586743,2.8686867248003165,ElasticNet,AGTwRD
DE,2,2396.5206049752815,2749.177450077321,3.146661346356374,ElasticNet,AGTwRD
DE,3,2270.1066619086087,2621.9530593223435,2.980080886398787,ElasticNet,AGTwRD
JP,1,3539.685565230953,3777.2265581255897,2.920044579920614,ElasticNet,AGTwRD
JP,2,3487.588721392558,3706.260084430515,2.859105978874655,ElasticNet,AGTwRD
JP,3,2775.335838503992,3299.0193987602697,2.391112569591334,ElasticNet,AGTwRD
KR,1,1129.9181515860994,1423.6412338204825,3.1592594116458157,ElasticNet,AGTwRD
KR,2,1063.0943731145926,1231.4160443731384,2.825672510265933,ElasticNet,AGTwRD
KR,3,1040.6495358344964,1297.53921911653,3.0838514392030216,ElasticNet,AGTwRD
CH,1,674.4792950912542,847.4681042958161,6.2322341180074075,ElasticNet,AGTwRD
CH,2,650.0857629884404,853.6566526405899,5.927476313603551,ElasticNet,AGTwRD
CH,3,588.9308008033486,776.4422184645558,5.363439281451394,ElasticNet,AGTwRD
GB,1,1028.2444157414632,1383.5544965611984,2.904748844724345,ElasticNet,AGTwRD
GB,2,2067.199986007888,2646.3346997145695,5.050208703933328,ElasticNet,AGTwRD
GB,3,3920.190115906808,5562.787219139055,7.810141448924714,ElasticNet,AGTwRD
US,1,7315.195895907324,9205.66344563555,2.2465878078182113,ElasticNet,AGTwRD
US,2,7192.627097691118,9056.39408174603,2.2097164746470006,ElasticNet,AGTwRD
US,3,6995.718027446965,9207.027083092178,2.1776651525568376,ElasticNet,AGTwRD
CN,1,7678.540501921976,11275.685938341096,4.098936824015804,ElasticNet,AGTwRD
CN,2,7678.540501921976,11275.685938341096,4.098936824015804,ElasticNet,AGTwRD
CN,3,7678.540501921976,11275.685938341096,4.098936824015804,ElasticNet,AGTwRD
CA,1,156.0753576207321,351.3686402105311,0.6113145555366738,ElasticNet,AllVar
CA,2,155.99291058159235,351.38601325384263,0.6110158450370963,ElasticNet,AllVar
CA,3,155.86279622611323,351.4109000697286,0.6105445905874791,ElasticNet,AllVar
DE,1,473.38144351985255,743.7988026172177,0.5092943949095471,ElasticNet,AllVar
DE,2,489.58936475870496,759.7741775096479,0.5293226454220156,ElasticNet,AllVar
DE,3,490.2975629967934,760.3391546362865,0.5301037598869786,ElasticNet,AllVar
JP,1,712.3916340691345,1429.9919320943022,0.4633179060135671,ElasticNet,AllVar
JP,2,685.5321689785573,1418.916727228868,0.4485064954373886,ElasticNet,AllVar
JP,3,687.5175980155894,1419.2430055197033,0.4496795999073179,ElasticNet,AllVar
KR,1,825.260677563191,1629.944618954259,1.6448315253714147,ElasticNet,AllVar
KR,2,882.0928382997678,1629.735550365271,1.6929478628402594,ElasticNet,AllVar
KR,3,909.742289820909,1631.1296576925467,1.722032319058839,ElasticNet,AllVar
CH,1,278.0169422015707,514.4568206373857,2.026433553000488,ElasticNet,AllVar
CH,2,275.7635354821291,517.2104282917402,2.0195687119817416,ElasticNet,AllVar
CH,3,280.6225540638012,522.6748985130213,2.0704778343385306,ElasticNet,AllVar
GB,1,535.2001148648046,1884.7496308576597,0.9753491846841432,ElasticNet,AllVar
GB,2,527.2792233134887,1880.0662212584425,0.9685018642011008,ElasticNet,AllVar
GB,3,532.5084018558027,1879.9554499543135,0.9768568716452368,ElasticNet,AllVar
US,1,2897.6524681726496,4455.300139417571,0.6365327279481091,ElasticNet,AllVar
US,2,3022.928376340511,4479.899961996363,0.6619339664326669,ElasticNet,AllVar
US,3,3023.8613599207915,4480.1928355462305,0.6621375941772155,ElasticNet,AllVar
CN,1,3746.523798335904,6729.531794456125,2.020290253370022,ElasticNet,AllVar
CN,2,4136.759104096807,6788.052238384626,2.1135375518274424,ElasticNet,AllVar
CN,3,4159.486570341231,6807.715311299221,2.176483500060642,ElasticNet,AllVar
AU,1,1267.875952022759,1648.508099916717,6.892593547915679,ElasticNet,Macros
AU,2,1267.405860361096,1647.3603581652271,6.790039680922553,ElasticNet,Macros
AU,3,1355.8303876284283,1689.002020684395,7.021841137731934,ElasticNet,Macros
AT,1,135.38368224798143,179.037645779804,2.8329364761392273,ElasticNet,Macros
AT,2,139.20174089596674,170.16981643738694,2.859679035988765,ElasticNet,Macros
AT,3,140.08597234596334,171.7115020329568,2.8826178089760166,ElasticNet,Macros
BE,1,451.9841532125939,705.7774228643667,3.38265401244961,ElasticNet,Macros
BE,2,479.1946422137826,739.9513145262384,3.633399261829685,ElasticNet,Macros
BE,3,499.8958606291453,768.5302544317886,3.8188628405863145,ElasticNet,Macros
CA,1,415.88549446631146,505.07152586280273,2.433875928323902,ElasticNet,Macros
CA,2,421.12393021365574,507.9446451621789,2.493256463214216,ElasticNet,Macros
CA,3,434.97321074792694,515.8649005156071,2.554788343553432,ElasticNet,Macros
CZ,1,328.80892709004354,363.1651067554991,5.047526734401521,ElasticNet,Macros
CZ,2,345.8290152683997,382.7172380218082,5.309937763064097,ElasticNet,Macros
CZ,3,396.8733802772469,429.7729014786534,5.982409696406286,ElasticNet,Macros
DK,1,165.61259508193643,189.88190398136007,3.8877942587957888,ElasticNet,Macros
DK,2,169.6390090808306,191.84936811017897,3.936496308977451,ElasticNet,Macros
DK,3,169.63841410561326,191.84891033560135,3.936486086949216,ElasticNet,Macros
FI,1,270.7939027484745,296.3822989669733,6.087150581317623,ElasticNet,Macros
FI,2,277.3244979368844,306.9742737340068,6.31002251419481,ElasticNet,Macros
FI,3,247.47227233247077,266.96555511660034,5.596157567738505,ElasticNet,Macros
FR,1,862.7073205058014,980.5539262401884,1.8498052154370523,ElasticNet,Macros
FR,2,942.086748326692,1055.919693249201,2.043741623463199,ElasticNet,Macros
FR,3,958.7466777708396,1073.858582449108,2.0834151171496194,ElasticNet,Macros
DE,1,2156.575677667998,2521.9255275272462,2.869351523921955,ElasticNet,Macros
DE,2,2248.142866770091,2624.937762680569,2.9973897674808616,ElasticNet,Macros
DE,3,2248.149372506813,2624.94499913376,2.9973984605115347,ElasticNet,Macros
GR,1,112.94649391199007,166.43714189338337,6.602207577068215,ElasticNet,Macros
GR,2,125.81946327599309,147.01346149304243,7.005935263587242,ElasticNet,Macros
GR,3,90.55498213985852,132.8117481383877,5.516324608439041,ElasticNet,Macros
HU,1,180.73489974854985,248.7688805448276,6.8939697805356746,ElasticNet,Macros
HU,2,274.87427916107634,337.71402432157765,9.97864216951616,ElasticNet,Macros
HU,3,277.26404122324925,338.82868273827154,10.055956838848996,ElasticNet,Macros
IS,1,37.93200589515995,40.68931458731873,19.510319625223673,ElasticNet,Macros
IS,2,42.58834993585356,50.465775776149535,19.0131634186643,ElasticNet,Macros
IS,3,41.05940195140903,52.67611808380042,17.347395843464067,ElasticNet,Macros
IE,1,79.11680130607344,101.85961457224607,2.480346646834591,ElasticNet,Macros
IE,2,48.91743827647708,57.481121132371406,2.0907618659199065,ElasticNet,Macros
IE,3,71.4312082343837,85.50854316926268,2.706557975950314,ElasticNet,Macros
IT,1,864.687199518321,1015.748901687062,4.141602329030782,ElasticNet,Macros
IT,2,889.6635211952835,1047.3475456733788,4.262553366812026,ElasticNet,Macros
IT,3,896.5749114923419,1054.7549552596345,4.295378734137769,ElasticNet,Macros
JP,1,3382.283791519443,3625.2549404389824,2.785618814500293,ElasticNet,Macros
JP,2,3457.282106007542,3695.3464857633207,2.8496695910104397,ElasticNet,Macros
JP,3,3225.227777432603,3556.9932134309015,2.712843556730494,ElasticNet,Macros
KR,1,1085.3079183086938,1336.811093199192,2.9137664797720615,ElasticNet,Macros
KR,2,1368.422256603514,1739.9595068393612,3.887767478001263,ElasticNet,Macros
KR,3,1370.68993881344,1587.2160992520194,3.8426713398237826,ElasticNet,Macros
LU,1,62.32160696309418,62.52995090112573,8.321844127648827,ElasticNet,Macros
LU,2,39.53203209375977,46.02635214565787,5.12853175694253,ElasticNet,Macros
LU,3,62.32160696309424,62.52995090112579,8.321844127648834,ElasticNet,Macros
MX,1,396.0290512706388,523.2513305639576,4.953639670708764,ElasticNet,Macros
MX,2,402.8009416523777,529.5858042748563,5.078232989920696,ElasticNet,Macros
MX,3,458.5690504808428,594.1922979333227,5.997041467706152,ElasticNet,Macros
NL,1,394.118919509149,521.5944979544582,3.0853050773930937,ElasticNet,Macros
NL,2,417.3945550506753,544.7208046755684,3.2483464154928003,ElasticNet,Macros
NL,3,394.72128223768846,504.39096427235233,3.0950575656829367,ElasticNet,Macros
NZ,1,100.88666642394938,133.14290886485196,4.977221409319437,ElasticNet,Macros
NZ,2,117.02847307861428,153.64510718657695,5.823853705473278,ElasticNet,Macros
NZ,3,120.25899237753262,157.56488894650417,6.015930538634036,ElasticNet,Macros
NO,1,137.65924987471303,163.24398784433478,2.4734246191088283,ElasticNet,Macros
NO,2,202.3298443769,244.58733090371396,3.7150916189458503,ElasticNet,Macros
NO,3,277.29716275941945,333.6943672298308,4.960173939567742,ElasticNet,Macros
PL,1,751.2890597915009,922.8914118046152,6.34155120706392,ElasticNet,Macros
PL,2,834.9996328926984,1171.2210755353562,6.202072720569358,ElasticNet,Macros
PL,3,824.3552041774307,1154.3929365653462,6.081975480369241,ElasticNet,Macros
PT,1,169.56372766062535,350.4013792842362,6.204640876741727,ElasticNet,Macros
PT,2,184.56456440776827,352.04735390675944,7.046853732787141,ElasticNet,Macros
PT,3,174.49366299915138,318.6552721353283,6.600383798741537,ElasticNet,Macros
SK,1,166.99178088074004,267.5756828680542,10.62679910263017,ElasticNet,Macros
SK,2,188.43669251564637,278.57601877301255,12.355966947070332,ElasticNet,Macros
SK,3,180.81491704518265,275.32377524572786,12.425375364821942,ElasticNet,Macros
ES,1,456.2371510123737,525.5793118300448,4.640827720016107,ElasticNet,Macros
ES,2,383.0061075482083,473.0458770339921,4.007911394349369,ElasticNet,Macros
ES,3,304.2197600856638,402.3469982044619,3.1297678524252976,ElasticNet,Macros
SE,1,1079.783306875882,1428.951634721392,8.113291417802111,ElasticNet,Macros
SE,2,1147.9365775644249,1493.4741808400013,8.637369463677711,ElasticNet,Macros
SE,3,1149.4356986809516,1495.3081963597526,8.648647049254775,ElasticNet,Macros
CH,1,770.1827786473505,1067.2805960708868,8.906696153702867,ElasticNet,Macros
CH,2,775.9913801847788,1040.9012076369331,8.905412357855095,ElasticNet,Macros
CH,3,757.8080114487525,1020.2806433051678,8.704363263040563,ElasticNet,Macros
TR,1,273.0863640725993,312.087963046407,2.927561448240724,ElasticNet,Macros
TR,2,303.5466238881827,378.1422101324652,3.224355583275059,ElasticNet,Macros
TR,3,278.0029443092076,346.248628355746,3.076567774443284,ElasticNet,Macros
GB,1,816.087968589157,1138.4841981192965,2.1396011786845937,ElasticNet,Macros
GB,2,725.1242430985902,947.1696668249602,1.8747248328465855,ElasticNet,Macros
GB,3,3210.8411637799277,5007.092461155082,6.021024699792039,ElasticNet,Macros
US,1,7315.195895907324,9205.66344563555,2.2465878078182113,ElasticNet,Macros
US,2,7192.627097691118,9056.39408174603,2.2097164746470006,ElasticNet,Macros
US,3,6995.718027446965,9207.027083092178,2.1776651525568376,ElasticNet,Macros
AR,1,176.34238664757436,204.4861003769635,6.960822042826156,ElasticNet,Macros
AR,2,155.16919538191553,217.89087968064695,4.512642864458082,ElasticNet,Macros
AR,3,160.67616209766197,217.8724546960797,4.7584755785858155,ElasticNet,Macros
CL,1,95.18576817234968,130.7339181831198,7.984802337942599,ElasticNet,Macros
CL,2,71.46410579115657,81.55081943980855,5.724945792723513,ElasticNet,Macros
CL,3,114.02443229308332,135.1549409544998,9.20008784347944,ElasticNet,Macros
CN,1,8601.369294689717,11563.103918581215,4.187633594579611,ElasticNet,Macros
CN,2,8622.443783264585,11573.992032550295,4.194569367398268,ElasticNet,Macros
CN,3,8622.443783264585,11573.992032550295,4.194569367398268,ElasticNet,Macros
EE,1,27.455030340608232,35.17213018839574,5.989741772888735,ElasticNet,Macros
EE,2,27.687248350949652,38.683993021318095,5.740124561166109,ElasticNet,Macros
EE,3,26.995266360636503,30.439496821723875,7.788646239719121,ElasticNet,Macros
IL,1,439.0054137929139,577.8065785288939,4.40899873676197,ElasticNet,Macros
IL,2,434.806243253307,577.4634968566435,4.352637631312728,ElasticNet,Macros
IL,3,429.8902964946383,576.3668738383592,4.185669572020295,ElasticNet,Macros
RO,1,118.28124623470984,153.1068031580909,10.575900218729773,ElasticNet,Macros
RO,2,204.97359843442305,229.2842306546627,17.77148374348703,ElasticNet,Macros
RO,3,318.02519975521295,337.14783308013705,26.84162032314546,ElasticNet,Macros
RU,1,1527.866363213987,2092.9036096102964,4.848335714276041,ElasticNet,Macros
RU,2,1618.774202116111,2143.482572950872,5.16311099866583,ElasticNet,Macros
RU,3,1649.3316682609795,2136.1671573570957,5.2544522161938945,ElasticNet,Macros
SG,1,622.5548518798953,715.7579150225095,6.893115270107393,ElasticNet,Macros
SG,2,663.751049572724,725.1218041959637,7.468814357324809,ElasticNet,Macros
