Country,Algorithm,Model_Variation,RMSE,MAE,MAPE
CA,MLP-Scikit,AGTwRD,395.5888884187264,307.48445089879635,1.096446251901353
US,MLP-Scikit,AGTwRD,7459.053061547205,5324.159206570796,1.046287873772003
CN,MLP-Scikit,AGTwRD,9445.773179436455,5295.52370084929,2.518147449113306
CH,MLP-Scikit,AGTwRD,501.10258773076424,349.4582606060175,2.2833266931548644
KR,RF,AGTwRD,501.9809664047936,164.64502179471987,0.2676115742555661
DE,RF,AGTwRD,445.6976666583714,140.02530661892658,0.130329987609957
GB,RF,AGTwRD,491.5526637782594,105.18410795402518,0.1845492778526128
JP,RF,AGTwRD,679.3013142334449,189.56286048370927,0.1172500307048788
CA,RF,AGTwRD,96.555463875859,26.758364485528,0.0962192081435342
US,RF,AGTwRD,2586.128278475054,880.2214156010918,0.1736391907005875
CN,RF,AGTwRD,2971.329576993215,1028.9309024979436,0.4739500193271717
CH,RF,AGTwRD,130.56906578526363,45.742430448381285,0.3006517639707117
KR,SVR,AGTwRD,72367.79181411871,68450.27566999532,99.99999999999984
DE,SVR,AGTwRD,108219.0053032784,106972.9538905632,99.9999999999999
GB,SVR,AGTwRD,55251.64609512387,52915.75172297888,99.9999999999998
JP,SVR,AGTwRD,163006.64765258328,162799.82495703874,99.99999999999996
CA,SVR,AGTwRD,28043.463407877265,28007.32869692257,99.99999999999966
US,SVR,AGTwRD,509199.5081060253,500059.4882413555,99.99999999999996
CN,SVR,AGTwRD,273055.3417956813,244000.7768083364,99.99999999999996
CH,SVR,AGTwRD,15773.709876018607,15597.830604325623,99.99999999999936
KR,XGBoost,AGTwRD,431.91040262262703,190.5755645479787,0.2939518211917195
DE,XGBoost,AGTwRD,407.7652399813539,171.2354836506825,0.162697116464402
GB,XGBoost,AGTwRD,181.2023820106768,110.64158570983048,0.2190391740046816
JP,XGBoost,AGTwRD,413.78766026433175,204.64490693206628,0.1247195734570557
CA,XGBoost,AGTwRD,132.92523692806392,72.86348063138936,0.2590569761131271
US,XGBoost,AGTwRD,219.3823829317159,119.65902847724874,0.0255625740272906
CN,XGBoost,AGTwRD,358.91667558586147,152.50904159710427,0.1082037831462075
CH,XGBoost,AGTwRD,59.14713228273348,50.569118348602125,0.3625058128327
0,MLP-Pytorch,MGTwRD,276.5984802246094,198.04949951171875,0.7044130563735962
1,MLP-Pytorch,MGTwRD,234.2122039794922,161.2520751953125,1.2385873794555664
2,MLP-Pytorch,MGTwRD,4459.57373046875,4052.5693359375,1.913490653038025
3,MLP-Pytorch,MGTwRD,1550.382080078125,752.9387817382812,0.7082489728927612
4,MLP-Pytorch,MGTwRD,2285.889404296875,718.1373901367188,1.385886549949646
5,MLP-Pytorch,MGTwRD,1769.6187744140625,1009.9005737304688,0.611517608165741
6,MLP-Pytorch,MGTwRD,1565.1937255859375,921.2092895507812,1.3927662372589111
7,MLP-Pytorch,MGTwRD,7027.375,3684.72119140625,0.6851467490196228
0,MLP-Pytorch,MGTwRD,266.50848388671875,185.7411651611328,0.6608186960220337
1,MLP-Pytorch,MGTwRD,221.0867919921875,151.5966796875,1.1652294397354126
2,MLP-Pytorch,MGTwRD,4347.73095703125,3925.712158203125,1.8751564025878906
3,MLP-Pytorch,MGTwRD,1515.4149169921875,708.29931640625,0.6668944358825684
