Lag,MAE,RMSE,MAPE,Model,Sub-Model
2.0,1635.6739404651105,3489.9372424908865,2.2072949467113645,LinReg,AllVar
3.0,1654.492927922004,3495.7325109073586,2.286295837765159,LinReg,AllVar
1.0,729.5672529962072,1524.864938599465,22.87679207244715,LinReg,Macros
2.0,659.6304646924846,1354.757488139849,13.549838610767695,LinReg,Macros
3.0,697.4675652548241,1390.1117877824206,15.08990660157654,LinReg,Macros
1.0,621.5138789587028,1626.3817818356304,0.9543989363444562,XGBoost,MGT
2.0,640.673962465844,1618.4502446692034,1.0088810343719297,XGBoost,MGT
3.0,670.6243776297873,1673.0354345953629,1.040299712661825,XGBoost,MGT
1.0,1475.154590347492,3441.3794536239902,1.7064344288462212,XGBoost,MGTwRD
2.0,1475.0114308757652,3408.8997228445487,1.6965513233678546,XGBoost,MGTwRD
3.0,1485.466150120282,3400.7847241593117,1.7162337585716871,XGBoost,MGTwRD
1.0,876.4646731766105,3507.429485218967,0.767235078293975,XGBoost,MGTwRD
2.0,925.90343078872,3593.2082621667737,0.7809301539093514,XGBoost,MGTwRD
3.0,957.569586276034,3752.3783705578862,0.8044303698353261,XGBoost,MGTwRD
1.0,1159.4483677845074,4458.481965179885,0.9142313884920832,XGBoost,MGTwRD
2.0,1147.3393567554997,4427.6259828276225,0.9082514923445352,XGBoost,MGTwRD
3.0,1693.052881061216,4771.943891054454,1.1676159038635885,XGBoost,MGTwRD
1.0,866.993839295187,3738.7305209802794,0.650512760802116,XGBoost,MGTwRD
2.0,897.2425178799283,3777.4734530373,0.6908107153003166,XGBoost,MGTwRD
3.0,934.1375684477458,3726.641484383449,0.7135962969313894,XGBoost,MGTwRD
1.0,1505.0317867966355,4248.007022148663,1.5781676822514208,XGBoost,MGTwRD
2.0,1849.4375376626217,4397.5412447719955,1.773722094392126,XGBoost,MGTwRD
3.0,1941.0805048622117,4458.624205269725,1.8673792431373033,XGBoost,MGTwRD
1.0,3945.6071111275055,6059.434347907318,4.432784634723185,XGBoost,AGTwRD
2.0,3903.189271710614,6305.003318939537,4.398654827525428,XGBoost,AGTwRD
3.0,4656.546201522407,7777.640534012876,6.833026621038026,XGBoost,AGTwRD
1.0,4247.531320653306,6760.195226919772,4.301764965255838,XGBoost,AGTwRD
2.0,5090.446428642118,8228.972638107709,5.021336709342463,XGBoost,AGTwRD
3.0,5208.905986926692,8633.4348301063,5.084737699919909,XGBoost,AGTwRD
1.0,731.1704332084988,2847.712985534261,0.7535404241146838,XGBoost,AllVar
2.0,818.1147022554125,3247.9343566550992,0.7297084798824057,XGBoost,AllVar
3.0,914.5602470446614,3624.969243940588,0.7540064563856896,XGBoost,AllVar
1.0,842.9707355447074,3164.4092146120447,8.495534266844704,XGBoost,Macros
2.0,904.4518913346582,3597.592463062873,9.661163320617405,XGBoost,Macros
3.0,848.5722102624156,3400.59085829614,8.799505612178706,XGBoost,Macros
