Year,Month,weight,annual_weight,estimate,date,Model,Variant
2014,3,0.0030927212051304496,0.038951573514837926,38.25255610404633,2014-03-01,OLS,signed
2014,4,0.003374240655531058,0.038951573514837926,41.73455071544724,2014-04-01,OLS,signed
2014,5,0.002218767343324326,0.038951573514837926,27.442991673981062,2014-05-01,OLS,signed
2014,6,0.0030714894015627134,0.038951573514837926,37.989948936023026,2014-06-01,OLS,signed
2014,7,0.003851508695055637,0.038951573514837926,47.6376765543675,2014-07-01,OLS,signed
2014,8,0.003908107320345359,0.038951573514837926,48.33772093137615,2014-08-01,OLS,signed
2014,9,0.0035265065013204205,0.038951573514837926,43.61786234377165,2014-09-01,OLS,signed
2014,10,0.003620130354836456,0.038951573514837926,44.775856056026775,2014-10-01,OLS,signed
2014,11,0.0028562064466884493,0.038951573514837926,35.32720542848941,2014-11-01,OLS,signed
2014,12,0.002670595894744566,0.038951573514837926,33.03146728049268,2014-12-01,OLS,signed
2015,1,0.0036172567924569877,0.03895157351483791,47.12004029953514,2015-01-01,OLS,signed
2015,2,0.0025765667080423823,0.03895157351483791,33.563535597076715,2015-02-01,OLS,signed
2015,3,0.002727906229702981,0.03895157351483791,35.534953378205834,2015-03-01,OLS,signed
2015,4,0.0028386126416849533,0.03895157351483791,36.97706570069434,2015-04-01,OLS,signed
2015,5,0.00384413444414466,0.03895157351483791,50.07545228822218,2015-05-01,OLS,signed
2015,6,0.004098943429687118,0.03895157351483791,53.39471059813303,2015-06-01,OLS,signed
2015,7,0.0033017968093444344,0.03895157351483791,43.01071437383618,2015-07-01,OLS,signed
2015,8,0.0036905270883071566,0.03895157351483791,48.07449266255738,2015-08-01,OLS,signed
2015,9,0.0038383567049147258,0.03895157351483791,50.000188816211455,2015-09-01,OLS,signed
2015,10,0.0029306563847801862,0.03895157351483791,38.176069568213926,2015-10-01,OLS,signed
2015,11,0.004119758626762551,0.03895157351483791,53.665858869132876,2015-11-01,OLS,signed
2015,12,0.001367057655009772,0.03895157351483791,17.80791784818092,2015-12-01,OLS,signed
2016,1,0.0036627707320267457,0.03895157351483792,49.66607695105207,2016-01-01,OLS,signed
2016,2,0.0030087595273560015,0.03895157351483792,40.79788038772148,2016-02-01,OLS,signed
2016,3,0.0032584763006816,0.03895157351483792,44.18396523641603,2016-03-01,OLS,signed
2016,4,0.00390027702629629,0.03895157351483792,52.88659135136869,2016-04-01,OLS,signed
2016,5,0.0036764652898578637,0.03895157351483792,49.85177106428273,2016-05-01,OLS,signed
2016,6,0.0021188634182733616,0.03895157351483792,28.731154986188084,2016-06-01,OLS,signed
2016,7,0.003197700754166188,0.03895157351483792,43.3598669810752,2016-07-01,OLS,signed
2016,8,0.0030761655901868743,0.03895157351483792,41.71188646357355,2016-08-01,OLS,signed
2016,9,0.003183268534247675,0.03895157351483792,43.16417039030039,2016-09-01,OLS,signed
2016,10,0.0033610725126312553,0.03895157351483792,45.57513922200656,2016-10-01,OLS,signed
2016,11,0.0037709623550479113,0.03895157351483792,51.13312303926166,2016-11-01,OLS,signed
2016,12,0.002736791474066154,0.03895157351483792,37.110074829810635,2016-12-01,OLS,signed
