Year,Month,NN,Sax,Mosley,Ridge_positive,Ridge_signed,date,Quarter,quarter_date
2010,5,40.33655338248769,38.4418559157215,37.9212417405837,38.527142592940926,40.8357265528707,2010-05-01,2,2010-04-01
2010,6,38.58463850910329,41.9536026516187,37.3294387953287,37.15830681697923,39.16020429295132,2010-06-01,2,2010-04-01
2010,7,31.496002784933214,43.1959120614222,36.5611825537783,31.45245724597584,30.453216291121084,2010-07-01,3,2010-07-01
2010,8,35.43382374589035,39.9343564538418,35.9587758287146,34.50760886344402,36.52067443713405,2010-08-01,3,2010-07-01
2010,9,40.566141871166415,32.7736780022943,33.3616731436752,36.33250001986848,39.76881320476389,2010-09-01,3,2010-07-01
2010,10,33.903658876461904,33.7926738822277,34.3210838547451,33.392890165641624,34.21294046077092,2010-10-01,4,2010-10-01
2010,11,32.63009337241448,33.8617637204632,36.323907300291,33.20948109815184,32.97995059729717,2010-11-01,4,2010-10-01
2010,12,32.47750585285734,34.748148376648,31.560468459651,30.84300164592714,31.79182211935849,2010-12-01,4,2010-10-01
2011,1,42.43664384971851,38.82756974914,39.8456401814422,42.13220661714505,39.97518990417221,2011-01-01,1,2011-01-01
2011,2,41.86846357095945,36.3042847743038,38.1499058115584,42.76037628947113,40.23660982994809,2011-02-01,1,2011-01-01
2011,3,44.300489493894645,39.8842644956956,43.4273188213024,42.79344358136905,40.994711029414646,2011-03-01,1,2011-01-01
2011,4,40.38974558376066,36.3475773622169,41.0401340500366,41.638114648848266,37.63577437186866,2011-04-01,2,2011-04-01
2011,5,38.46815138771111,38.0047273701718,38.0567237299561,37.05941467607855,38.899848290611054,2011-05-01,2,2011-04-01
2011,6,38.79872703710934,40.8768531393659,38.4856959971162,36.7474935619324,37.60476742530735,2011-06-01,2,2011-04-01
2011,7,37.07072926374533,45.8296516401783,37.7637950698583,35.08861007929243,36.363885199551575,2011-07-01,3,2011-07-01
2011,8,38.03530815913268,38.9519616896249,37.7962369281492,37.22908126890951,39.37763427058105,2011-08-01,3,2011-07-01
2011,9,39.41644373903438,33.5801858675042,35.4779181051565,38.41714491467491,42.226684479645805,2011-09-01,3,2011-07-01
2011,10,32.12288605231434,34.287770858914,36.6412974380226,36.04535283549946,35.74668843157251,2011-10-01,4,2011-10-01
2011,11,31.67807887010784,35.7832906975031,35.6159709688511,33.8601389903865,34.382550191086594,2011-11-01,4,2011-10-01
2011,12,30.940005901299763,36.8475352641696,33.2250358073384,31.754295445180794,32.0813294850285,2011-12-01,4,2011-10-01
2012,1,38.29941358594574,38.3322423380927,40.3176817337952,41.04764496076941,36.94007268884714,2012-01-01,1,2012-01-01
2012,2,43.426570623406526,37.849118334681,40.7940533754154,43.8430679522875,41.889340288002366,2012-02-01,1,2012-01-01
2012,3,39.68899542452136,37.9967734699162,39.7297014335373,40.97200802256823,40.444339904295234,2012-03-01,1,2012-01-01
2012,4,40.47907279220813,37.9247616326346,38.657801840876,40.582271697062986,39.46266608048518,2012-04-01,2,2012-04-01
2012,5,34.624271796314574,39.6361796464693,39.6642533244553,36.254205654448135,35.92876415827051,2012-05-01,2,2012-04-01
2012,6,39.27939412576353,44.054969566281,40.4733220112585,37.681481197232365,38.16804834929182,2012-06-01,2,2012-04-01
2012,7,36.6169805826277,44.6772384463298,36.9580012999513,34.38001208974413,36.06726110412635,2012-07-01,3,2012-07-01
2012,8,38.87131306552118,38.2830406023781,37.3302533538792,37.18478042560258,39.09329579629164,2012-08-01,3,2012-07-01
2012,9,38.97091622373591,33.1110943666381,37.548880461094,38.84916624815642,40.644910922657054,2012-09-01,3,2012-07-01
2012,10,36.81118755630707,34.30355280596,37.8159263528314,38.13466461823305,39.00911205890487,2012-10-01,4,2012-10-01
