Iteration,Training_Loss
956,31585782.0
957,103306970.0
958,28978096.0
959,28153520.0
960,101985870.0
961,55929720.0
962,33252846.0
963,55034364.0
964,46835140.0
965,28682274.0
966,164979570.0
967,11970494.0
968,91884160.0
969,35833348.0
970,71688670.0
971,81210950.0
972,32241418.0
973,140491330.0
974,29495868.0
975,42626660.0
976,133154570.0
977,58945496.0
978,39902340.0
979,66129490.0
980,42402650.0
981,37115572.0
982,172058130.0
983,10959954.0
984,108590750.0
985,31750400.0
986,83996850.0
987,83584150.0
988,33203514.0
989,168370740.0
990,28693128.0
991,54347932.0
992,154140700.0
993,60159812.0
994,46766636.0
995,72603260.0
996,37809464.0
997,42285090.0
998,171375620.0
999,10433222.0
1000,118702880.0
1001,27420436.0
1002,91510670.0
1003,81133224.0
1004,34146496.0
1005,184819760.0
1006,27169824.0
1007,61983436.0
1008,164201140.0
1009,59723610.0
1010,52811280.0
1011,74573896.0
1012,33474800.0
1013,44233864.0
1014,164637600.0
1015,10320389.0
1016,122834910.0
1017,12390940.0
1018,28418698.0
1019,31446038.0
1020,31783510.0
1021,38724716.0
1022,18546358.0
1023,8785807.0
1024,34184276.0
1025,40486676.0
1026,30333920.0
1027,25317640.0
1028,28088844.0
1029,10295491.0
1030,92086460.0
1031,10047535.0
1032,57033056.0
1033,15547222.0
1034,49262496.0
1035,32697992.0
1036,32418480.0
1037,85738440.0
1038,18247472.0
1039,27516896.0
1040,66606910.0
1041,41388556.0
1042,46587816.0
1043,33693308.0
1044,21765050.0
1045,16262210.0
1046,83478540.0
1047,12628814.0
1048,68616490.0
1049,12192873.0
1050,57317164.0
1051,24788906.0
1052,34131844.0
1053,95765330.0
1054,17495942.0
1055,33456214.0
1056,64852550.0
1057,38499584.0
1058,58303570.0
1059,29142312.0
1060,21949074.0
1061,13430201.0
1062,62485824.0
1063,16290477.0
1064,58406412.0
1065,13935329.0
1066,49555908.0
1067,16532744.0
1068,33935824.0
1069,69378890.0
1070,18866308.0
1071,24014058.0
1072,39830028.0
1073,35535416.0
1074,54335930.0
1075,20194554.0
1076,24486390.0
1077,7382966.0
1078,47237544.0
1079,16805510.0
1080,41706590.0
1081,16589625.0
1082,36819920.0
1083,14886761.0
1084,32743518.0
1085,37709784.0
1086,21238986.0
1087,11417005.0
1088,18322414.0
1089,34368812.0
1090,41474170.0
1091,14725706.0
1092,23720254.0
1093,4268961.0
1094,42249604.0
1095,14185191.0
1096,32002030.0
1097,16025749.0
1098,29412104.0
1099,15440166.0
1100,32178542.0
1101,22596548.0
1102,22343974.0
1103,5502114.5
1104,10708982.0
1105,34226144.0
1106,33914456.0
1107,13143777.0
1108,22243010.0
1109,3701474.0
1110,42506704.0
1111,12363714.0
1112,29312926.0
1113,14967165.0
1114,27213668.0
1115,15532540.0
1116,32106758.0
1117,18483852.0
1118,22787338.0
1119,3888693.2
1120,8871858.0
1121,34123924.0
1122,31806810.0
1123,12720382.0
1124,21898176.0
1125,3665809.5
1126,42247852.0
1127,11961912.0
1128,28096960.0
1129,15141600.0
1130,25830530.0
1131,16070316.0
1132,32072176.0
1133,14816819.0
1134,23649028.0
1135,2609007.2
1136,7579199.0
1137,33950850.0
1138,29859412.0
1139,12472618.0
1140,21480590.0
1141,3745268.2
1142,42795012.0
1143,11534981.0
1144,27550366.0
1145,15125847.0
1146,24981930.0
1147,16492661.0
1148,32051492.0
1149,12478114.0
1150,24317054.0
1151,1879404.2
1152,7109108.0
1153,33824096.0
1154,28603610.0
1155,12390486.0
1156,21211170.0
1157,3804409.5
1158,44138308.0
1159,11345350.0
1160,28018238.0
1161,15345070.0
1162,24748690.0
1163,16988674.0
1164,32021652.0
1165,11003269.0
1166,25076096.0
1167,1495203.4
1168,7067762.5
1169,33708316.0
1170,27855894.0
1171,12356265.0
1172,21148506.0
1173,3820009.0
1174,45837850.0
1175,11357915.0
1176,29086702.0
1177,15926998.0
1178,24717050.0
1179,17761948.0
1180,31993784.0
1181,9531845.0
1182,25932112.0
1183,1271090.5
1184,7364568.5
1185,33651076.0
1186,27382558.0
1187,12337425.0
1188,21436136.0
1189,3745896.0
1190,49002080.0
1191,11554009.0
1192,31715134.0
1193,17017212.0
1194,25326628.0
1195,18889304.0
1196,31942156.0
1197,8468848.0
1198,27064508.0
1199,1260122.0
1200,7980586.5
1201,33616116.0
1202,27366358.0
1203,12324017.0
1204,22216462.0
1205,3678683.5
1206,52969770.0
1207,12036922.0
1208,35511564.0
1209,19054862.0
1210,25992994.0
1211,20857394.0
1212,31909666.0
1213,6907200.5
1214,28266814.0
1215,1561409.1
1216,9179595.0
1217,33735628.0
1218,28197286.0
1219,12318230.0
1220,24594698.0
1221,3894010.5
1222,60797870.0
1223,13118223.0
1224,43872508.0
1225,23370812.0
1226,27841306.0
1227,24570812.0
1228,31849844.0
1229,5459021.0
1230,30106722.0
1231,2404730.2
1232,11231297.0
1233,33979536.0
1234,30559614.0
1235,12367204.0
1236,29462418.0
1237,5231802.0
1238,72438616.0
1239,15095068.0
1240,57562730.0
1241,31599018.0
1242,30316138.0
1243,31440570.0
1244,31815218.0
1245,4013866.5
1246,32087364.0
1247,4573332.0
1248,14773573.0
1249,34648000.0
1250,36527908.0
1251,12675328.0
1252,40537816.0
1253,10156813.0
1254,93663490.0
1255,18887908.0
1256,84395310.0
1257,48354816.0
1258,35377470.0
1259,44518076.0
1260,31750694.0
1261,3880131.0
1262,35310000.0
1263,8766730.0
1264,20789312.0
1265,35726492.0
1266,48102744.0
1267,13329711.0
1268,60405290.0
1269,20924770.0
1270,125994630.0
1271,23795488.0
1272,126858184.0
1273,73098104.0
1274,44988256.0
1275,62118060.0
1276,31660102.0
1277,4830867.0
1278,40921010.0
1279,12673275.0
1280,28206670.0
1281,36219652.0
1282,59866744.0
1283,13482093.0
1284,78449150.0
1285,29301188.0
1286,151724770.0
1287,25261684.0
1288,159608220.0
1289,85072540.0
1290,55830880.0
1291,68324264.0
1292,31900252.0
1293,3988217.0
1294,46862960.0
1295,10410061.0
1296,29972696.0
1297,34920100.0
1298,55568944.0
1299,12640659.0
1300,68833230.0
1301,20943288.0
1302,135072850.0
1303,21468798.0
1304,135161620.0
1305,67133530.0
1306,51443960.0
1307,55858224.0
1308,31881594.0
1309,3744188.5
1310,44298188.0
1311,7183609.5
1312,24545908.0
1313,34257324.0
1314,46092776.0
1315,12418989.0
1316,53878536.0
1317,14209915.0
1318,112817860.0
1319,19757540.0
1320,106963360.0
1321,56231116.0
1322,42354510.0
1323,49848370.0
1324,31619028.0
1325,3744096.5
1326,39126784.0
1327,8285579.0
1328,22652186.0
1329,35054984.0
1330,47703292.0
1331,12861341.0
1332,58406764.0
1333,18454178.0
1334,121496570.0
1335,22408068.0
1336,119995096.0
1337,67345430.0
1338,43830588.0
1339,58406410.0
1340,31593498.0
1341,4462077.5
1342,40005332.0
1343,11661601.0
1344,26558138.0
1345,35975308.0
1346,56653484.0
1347,13358140.0
1348,73465224.0
1349,27012878.0
1350,144418560.0
1351,25144886.0
1352,150424660.0
1353,82773810.0
1354,52050420.0
1355,68258090.0
1356,31666596.0
1357,4517271.0
1358,44645868.0
1359,12336571.0
1360,30398810.0
1361,35626010.0
1362,59846988.0
1363,13008184.0
1364,76906740.0
1365,26649162.0
1366,147835710.0
1367,23850172.0
1368,153127860.0
