Year,Month,NN,Sax,Mosley,date,Uniform,Employment
2012,5,34.624271796314574,39.6361796464693,39.6642533244553,2012-05-01,37.90170055657484,371700
2012,6,39.27939412576353,44.054969566281,40.4733220112585,2012-06-01,37.90170055657484,376300
2012,7,36.6169805826277,44.6772384463298,36.9580012999513,2012-07-01,37.90170055657484,379800
2012,8,38.87131306552118,38.2830406023781,37.3302533538792,2012-08-01,37.90170055657484,377200
2012,9,38.970916223735905,33.1110943666381,37.548880461094,2012-09-01,37.90170055657484,372400
2012,10,36.81118755630707,34.30355280596,37.8159263528314,2012-10-01,37.90170055657484,372700
2012,11,35.67525675718705,32.7110470730984,33.4829459068017,2012-11-01,37.90170055657484,373000
2012,12,32.0770341453593,35.9403883964189,32.0475855850027,2012-12-01,37.90170055657484,373900
2013,1,47.93473946109689,38.6598074655354,38.9376973635049,2013-01-01,39.023102014304165,370900
2013,2,45.145394547658405,38.482854913421,39.6320176398373,2013-02-01,39.023102014304165,372400
2013,3,38.32467225602798,38.9224580300009,39.0331014104391,2013-03-01,39.023102014304165,373500
2013,4,39.84882004665344,37.6740779868615,40.1145563875472,2013-04-01,39.023102014304165,370200
2013,5,35.54127699928368,40.2919060960009,40.1772863496426,2013-05-01,39.023102014304165,371800
2013,6,36.027380533784246,44.9133973922323,39.6177304571196,2013-06-01,39.023102014304165,375200
2013,7,37.37919609200264,44.2024921071675,39.0005855114321,2013-07-01,39.023102014304165,375700
2013,8,37.12154604762587,43.4207795351011,39.7265644463031,2013-08-01,39.023102014304165,374800
2013,9,37.9093275501379,35.4384949539802,38.1497664012638,2013-09-01,39.023102014304165,370000
2013,10,37.867271093784424,32.408200446948,38.7856571306215,2013-10-01,39.023102014304165,371600
2013,11,39.13650176568601,36.9096909339997,38.7432044559623,2013-11-01,39.023102014304165,372500
2013,12,36.04109777790852,36.9530643104017,36.3590566179765,2013-12-01,39.023102014304165,373000
2014,1,44.09310810065775,36.9706561174853,41.1461640241047,2014-01-01,40.14795688517224,368400
2014,2,46.06004270591471,40.5507147863867,43.5595357498045,2014-02-01,40.14795688517224,369700
2014,3,42.771123240708306,39.1688663366842,40.333382756249,2014-03-01,40.14795688517224,370700
2014,4,45.83987768758457,40.0036708920944,42.6719933564589,2014-04-01,40.14795688517224,372800
2014,5,39.63751370298475,41.4698345946414,39.8435210040486,2014-05-01,40.14795688517224,374200
2014,6,37.99746784555483,46.1984845714102,39.4011763106138,2014-06-01,40.14795688517224,378900
2014,7,41.95557608163799,46.8767165086491,42.6564183389162,2014-07-01,40.14795688517224,382800
2014,8,39.80370314089287,45.246495148809,39.9498938636086,2014-08-01,40.14795688517224,380800
