split,seed,epoch,val_MAPE
temporal,0,88,42.477753602989154
temporal,0,89,36.01568024413896
temporal,0,90,38.80790275270916
temporal,0,91,42.691737313222774
temporal,0,92,34.33902897249625
temporal,0,93,34.27690306305058
temporal,0,94,38.36393406116439
temporal,1,1,70.31234060918608
temporal,1,2,48.037906376372014
temporal,1,3,50.81630196759201
temporal,1,4,53.36844708900058
temporal,1,5,42.413424379443
temporal,1,6,58.92675452422146
temporal,1,7,43.83533984593466
temporal,1,8,49.84924117579345
temporal,1,9,39.040963610981755
temporal,1,10,44.261987905960105
temporal,1,11,52.18843966460413
temporal,1,12,28.240044785469614
temporal,1,13,29.586658928602056
temporal,1,14,34.44475633338768
temporal,1,15,34.28626065129862
temporal,1,16,42.75228495408436
temporal,1,17,40.06058828210185
temporal,1,18,33.41477421533323
temporal,1,19,38.3767245052242
temporal,1,20,45.85243488068085
temporal,1,21,37.48771139010585
temporal,1,22,39.37708651013952
temporal,1,23,36.13039926650206
temporal,1,24,27.126360462137477
temporal,1,25,25.211073871308358
temporal,1,26,29.007555571821037
temporal,1,27,39.938823887640915
temporal,1,28,35.03469382672867
temporal,1,29,30.017467213677257
temporal,1,30,26.8815739813891
temporal,1,31,40.78988608246715
temporal,1,32,34.98949399885334
temporal,1,33,37.364416671846776
temporal,1,34,24.392130708321165
temporal,1,35,32.67455642523727
temporal,1,36,35.87362061617069
temporal,1,37,41.31554240379122
temporal,1,38,44.248680130855284
temporal,1,39,46.1832797027293
temporal,1,40,43.24369942555425
temporal,1,41,31.831195917180395
temporal,1,42,31.38004872335957
temporal,1,43,27.086802757123053
temporal,1,44,32.39919645643432
temporal,1,45,32.59664083245815
temporal,1,46,38.397741933720155
temporal,1,47,34.09789605177618
temporal,1,48,32.84882438024549
temporal,1,49,26.79267294085033
temporal,1,50,30.809934842592206
temporal,1,51,32.80058364924706
temporal,1,52,33.98257721519645
temporal,1,53,29.83401937936478
temporal,1,54,35.72605049903675
temporal,1,55,29.66564295549896
temporal,1,56,31.035579793095756
temporal,1,57,34.57922706551015
temporal,1,58,31.235316256247064
temporal,1,59,31.27086762592357
temporal,1,60,31.005388501963953
temporal,1,61,31.126274777431647
temporal,1,62,29.62732327519739
temporal,1,63,29.1986853471786
temporal,1,64,32.47200865911284
temporal,1,65,34.493486878203676
temporal,1,66,27.488948656383027
temporal,1,67,31.263892972454123
temporal,1,68,33.514385402495215
temporal,1,69,29.358674538199264
temporal,1,70,31.290951391146383
temporal,1,71,28.658241190768912
temporal,1,72,31.810065397654235
temporal,1,73,29.072092419289632
temporal,1,74,33.21476376372596
temporal,1,75,29.133299667000617
temporal,1,76,33.04210255136593
temporal,1,77,23.192424941823376
temporal,1,78,35.605853076847346
temporal,1,79,30.68289503779266
temporal,1,80,29.80481638621611
temporal,1,81,31.866396747962515
temporal,1,82,30.02097871217309
temporal,1,83,35.11042153948299
temporal,1,84,29.34930332119126
temporal,1,85,29.017328809444855
temporal,1,86,30.493383742167573
temporal,1,87,29.729437918866374
temporal,1,88,28.27234039167333
temporal,1,89,36.91730819139882
temporal,1,90,26.20529940181664
temporal,1,91,33.14807629958013
temporal,1,92,30.980381696075433
temporal,1,93,30.465412746362368
temporal,1,94,30.202892380346764
temporal,1,95,35.32764634206707
temporal,1,96,30.27228653759635
temporal,1,97,29.529556733658097
temporal,1,98,29.857003577806314
temporal,1,99,29.918618274209386
temporal,1,100,26.088831373765757
temporal,1,101,32.91023290339242
temporal,1,102,27.08920099088974
temporal,1,103,35.578520322072606
temporal,1,104,26.21227816512362
temporal,1,105,28.243720733059874
